compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PARA__L4,__PARA__L5,__PARA__L6,__PIPE__L0,__PIPE__L1,__PIPE__L3,__TILE__L0,__TILE__L1,__TILE__L3
34min 08sec,371141 (1.485ms),906186 (76%),1588014 (67%),1326 (30%),9647 (141%),64 (6%),1,1,1,1,1,8,25,off,off,flatten,1,1,8
10min 20sec,748688 (3.419ms),134419 (11%),343026 (14%),1326 (30%),3272 (47%),64 (6%),1,1,1,1,1,8,25,off,off,flatten,1,1,2
51min 02sec,187043 (0.803ms),755975 (63%),749001 (31%),3470 (80%),4400 (64%),0 (~0%),1,1,16,1,8,8,25,off,off,flatten,1,1,1
60min 00sec,,,,,,,1,1,8,5,8,8,4,off,off,flatten,1,1,1
09min 03sec,195002 (0.78ms),447676 (37%),538116 (22%),1118 (25%),4581 (66%),64 (6%),2,1,8,1,8,8,25,off,off,flatten,1,1,1
51min 10sec,191334 (0.765ms),756325 (63%),747479 (31%),3470 (80%),4400 (64%),0 (~0%),1,1,2,1,8,8,4,off,off,flatten,1,1,1
11min 57sec,188983 (0.756ms),804300 (68%),960574 (40%),1918 (44%),8981 (131%),64 (6%),1,1,2,2,8,8,25,off,off,flatten,8,1,1
13min 22sec,675920 (2.901ms),617149 (52%),815321 (34%),706 (16%),7662 (112%),0 (~0%),1,1,4,1,4,8,5,flatten,off,off,8,1,8
50min 52sec,207113 (0.889ms),745319 (63%),746503 (31%),3470 (80%),4400 (64%),0 (~0%),1,1,16,1,4,8,25,off,off,flatten,1,1,1
51min 55sec,326765 (1.307ms),749689 (63%),788948 (33%),3470 (80%),7600 (111%),0 (~0%),1,1,8,1,1,8,25,off,off,flatten,1,1,1
09min 37sec,187466 (0.75ms),449275 (38%),539721 (22%),1118 (25%),4581 (66%),64 (6%),4,1,16,1,8,8,25,off,off,flatten,1,1,1
21min 11sec,285389 (1.142ms),608142 (51%),665886 (28%),1870 (43%),4400 (64%),0 (~0%),1,1,8,1,8,4,25,off,off,flatten,1,1,1
53min 36sec,364119 (1.456ms),772145 (65%),840432 (35%),3470 (80%),4400 (64%),0 (~0%),1,5,8,1,8,8,25,off,off,flatten,1,1,1
53min 46sec,363842 (1.562ms),773532 (65%),841611 (35%),3470 (80%),4400 (64%),0 (~0%),1,5,16,1,8,8,25,off,off,flatten,1,1,1
09min 18sec,187814 (0.751ms),447722 (37%),538342 (22%),1118 (25%),4581 (66%),64 (6%),8,1,8,1,8,8,25,off,off,flatten,1,1,1
49min 51sec,199320 (0.797ms),745475 (63%),746086 (31%),3490 (80%),4400 (64%),0 (~0%),1,1,8,1,5,8,25,off,off,flatten,1,1,1
09min 21sec,182602 (0.73ms),445515 (37%),534067 (22%),1082 (25%),4582 (66%),64 (6%),10,1,8,1,8,8,25,off,off,flatten,1,1,1
60min 00sec,,,,,,,1,1,16,2,8,8,25,off,off,flatten,1,1,1
60min 00sec,,,,,,,1,1,8,4,8,8,25,off,off,flatten,1,1,1
50min 54sec,188636 (0.755ms),755056 (63%),747818 (31%),3470 (80%),4400 (64%),0 (~0%),1,1,4,1,8,8,25,off,off,flatten,1,1,1
06min 45sec,240061 (1.03ms),90611 (7%),68365 (2%),270 (6%),180 (2%),64 (6%),1,1,8,1,8,8,25,off,off,off,1,1,1
52min 23sec,754919 (3.226ms),756572 (63%),718925 (30%),3470 (80%),4400 (64%),0 (~0%),1,2,8,1,8,8,25,off,off,flatten,1,1,1
48min 28sec,247113 (1.061ms),739929 (62%),745353 (31%),3470 (80%),4400 (64%),0 (~0%),1,1,16,1,2,8,25,off,off,flatten,1,1,1
09min 18sec,280672 (1.123ms),444222 (37%),532596 (22%),2106 (48%),4582 (66%),0 (~0%),10,1,8,1,8,4,25,off,off,flatten,1,1,1
60min 00sec,,,,,,,1,1,16,1,8,8,25,off,flatten,flatten,1,1,1
13min 07sec,777687 (3.323ms),818298 (69%),1029631 (43%),2382 (55%),8803 (128%),0 (~0%),1,1,2,2,8,8,25,off,off,flatten,1,2,1
50min 56sec,187043 (0.803ms),755975 (63%),749001 (31%),3470 (80%),4400 (64%),0 (~0%),1,1,16,1,8,8,2,off,off,flatten,1,1,1
60min 00sec,,,,,,,1,1,16,8,8,8,25,off,off,flatten,1,1,1
17min 34sec,420356 (1.902ms),156282 (13%),379385 (16%),2126 (49%),3281 (47%),64 (6%),1,1,2,2,8,8,25,off,off,flatten,1,1,2
60min 00sec,,,,,,,1,1,16,4,8,8,25,off,off,flatten,1,1,1
55min 33sec,191133 (0.765ms),1136259 (96%),1137840 (48%),3470 (80%),8800 (128%),0 (~0%),1,1,2,2,8,8,25,off,off,flatten,400,1,1
11min 20sec,1340768 (5.73ms),770068 (65%),1013975 (42%),1486 (34%),8801 (128%),0 (~0%),1,1,4,1,4,8,5,flatten,off,off,1,2,1
12min 13sec,196171 (0.785ms),804250 (68%),960348 (40%),1918 (44%),8981 (131%),64 (6%),1,1,2,2,8,8,25,off,off,flatten,2,1,1
12min 33sec,182987 (0.732ms),803928 (68%),957122 (40%),1882 (43%),8982 (131%),64 (6%),10,1,8,2,8,8,25,off,off,flatten,1,1,1
09min 23sec,327166 (1.309ms),434622 (36%),519911 (21%),1082 (25%),4428 (64%),64 (6%),10,1,8,1,1,8,25,off,off,flatten,1,1,1
52min 07sec,334473 (1.442ms),1012572 (85%),1168090 (49%),3470 (80%),8800 (128%),0 (~0%),1,1,4,1,4,8,5,flatten,off,off,400,1,1
09min 37sec,243236 (0.973ms),436505 (36%),521744 (22%),1082 (25%),4450 (65%),64 (6%),10,1,8,1,2,8,25,off,off,flatten,1,1,1
52min 28sec,754642 (3.239ms),757959 (64%),720040 (30%),3470 (80%),4400 (64%),0 (~0%),1,2,16,1,8,8,25,off,off,flatten,1,1,1
33min 45sec,855403 (3.671ms),777182 (65%),1573546 (66%),706 (16%),7640 (111%),0 (~0%),1,1,4,1,4,8,5,flatten,off,off,2,1,4
10min 18sec,542402 (2.17ms),450815 (38%),556175 (23%),1082 (25%),4582 (66%),64 (6%),10,2,8,1,8,8,25,off,off,flatten,1,1,1
34min 30sec,182635 (0.731ms),1858660 (157%),2204988 (93%),4292 (99%),22182 (324%),64 (6%),10,1,8,5,8,8,25,off,off,flatten,1,1,1
10min 05sec,563888 (2.575ms),130309 (11%),338627 (14%),1326 (30%),3272 (47%),64 (6%),1,1,1,1,1,8,25,off,off,flatten,1,1,4
51min 44sec,187333 (0.807ms),755506 (63%),751792 (31%),3470 (80%),4400 (64%),0 (~0%),1,1,25,1,8,8,25,off,off,flatten,1,1,1
60min 00sec,,,,,,,1,8,16,1,8,8,25,off,off,flatten,1,1,1
54min 12sec,183043 (0.786ms),761305 (64%),748235 (31%),3426 (79%),4400 (64%),0 (~0%),1,1,16,1,10,8,25,off,off,flatten,1,1,1
09min 18sec,201236 (0.805ms),440377 (37%),525891 (22%),1082 (25%),4494 (65%),64 (6%),10,1,8,1,4,8,25,off,off,flatten,1,1,1
09min 09sec,182602 (0.73ms),445515 (37%),534067 (22%),1082 (25%),4582 (66%),64 (6%),10,1,8,1,8,8,4,off,off,flatten,1,1,1
51min 00sec,183043 (0.786ms),761305 (64%),748235 (31%),3426 (79%),4400 (64%),0 (~0%),1,1,16,1,10,8,1,off,off,flatten,1,1,1
05min 01sec,661614 (2.84ms),69752 (5%),68011 (2%),1338 (30%),290 (4%),0 (~0%),10,1,8,1,8,8,25,off,off,off,1,1,1
13min 39sec,1368984 (5.875ms),620863 (52%),836389 (35%),706 (16%),7640 (111%),0 (~0%),1,1,4,1,4,8,5,flatten,off,off,8,1,2
09min 51sec,1117047 (4.774ms),775278 (65%),1019667 (43%),1504 (34%),8846 (129%),0 (~0%),1,1,4,1,4,8,5,flatten,off,off,1,4,4
14min 05sec,410162 (1.641ms),817766 (69%),1025748 (43%),2126 (49%),8803 (128%),64 (6%),1,1,2,2,8,8,25,off,off,flatten,1,4,1
09min 23sec,182602 (0.73ms),445515 (37%),534067 (22%),1082 (25%),4582 (66%),64 (6%),10,1,8,1,8,8,1,off,off,flatten,1,1,1
09min 06sec,184700 (0.739ms),445806 (37%),533171 (22%),1082 (25%),4582 (66%),64 (6%),10,1,1,1,8,8,4,off,off,flatten,1,1,1
10min 08sec,362902 (1.452ms),449224 (37%),556844 (23%),1082 (25%),4582 (66%),64 (6%),10,4,8,1,8,8,4,off,off,flatten,1,1,1
09min 28sec,183970 (0.736ms),446025 (37%),533307 (22%),1082 (25%),4582 (66%),64 (6%),10,1,2,1,8,8,25,off,off,flatten,1,1,1
09min 06sec,184700 (0.739ms),445806 (37%),533171 (22%),1082 (25%),4582 (66%),64 (6%),10,1,1,1,8,8,25,off,off,flatten,1,1,1
52min 24sec,334473 (1.442ms),1012572 (85%),1168090 (49%),3470 (80%),8800 (128%),0 (~0%),1,1,4,1,4,8,5,flatten,off,off,1,400,1
09min 23sec,365518 (1.462ms),446797 (37%),534314 (22%),1540 (35%),4623 (67%),0 (~0%),10,1,8,1,10,8,25,off,off,flatten,1,1,1
05min 30sec,397495 (1.713ms),55907 (4%),54828 (2%),538 (12%),239 (3%),64 (6%),10,1,8,1,8,8,4,off,off,off,1,1,1
09min 28sec,241002 (1.03ms),443792 (37%),532873 (22%),1092 (25%),4582 (66%),40 (4%),10,1,8,1,8,5,25,off,off,flatten,1,1,1
09min 05sec,185624 (0.742ms),446470 (37%),537220 (22%),1122 (25%),4582 (66%),64 (6%),5,1,8,1,8,8,25,off,off,flatten,1,1,1
09min 30sec,183372 (0.733ms),445925 (37%),533753 (22%),1082 (25%),4582 (66%),64 (6%),10,1,4,1,8,8,25,off,off,flatten,1,1,1
09min 27sec,873802 (3.495ms),442255 (37%),531374 (22%),1338 (30%),4582 (66%),0 (~0%),10,1,8,1,8,1,25,off,off,flatten,1,1,1
10min 11sec,362902 (1.452ms),449224 (37%),556844 (23%),1082 (25%),4582 (66%),64 (6%),10,4,8,1,8,8,25,off,off,flatten,1,1,1
60min 00sec,,,,,,,10,1,8,1,8,8,4,flatten,off,flatten,1,1,1
33min 18sec,1376403 (5.907ms),781823 (66%),1578152 (66%),706 (16%),7640 (111%),0 (~0%),1,1,4,1,4,8,5,flatten,off,off,2,1,2
09min 41sec,478272 (1.913ms),443174 (37%),531893 (22%),1594 (36%),4582 (66%),0 (~0%),10,1,8,1,8,2,25,off,off,flatten,1,1,1
36min 13sec,231149 (0.925ms),1685014 (142%),2439971 (103%),2126 (49%),19379 (283%),64 (6%),1,1,2,2,8,8,25,off,off,flatten,1,1,4
08min 38sec,610186 (2.441ms),441473 (37%),529195 (22%),1370 (31%),4513 (65%),0 (~0%),10,1,8,1,5,8,25,off,off,flatten,1,1,1
09min 19sec,182602 (0.73ms),445515 (37%),534067 (22%),1082 (25%),4582 (66%),64 (6%),10,1,8,1,8,8,5,off,off,flatten,1,1,1
17min 53sec,420488 (1.903ms),156477 (13%),379196 (16%),2126 (49%),3281 (47%),64 (6%),1,1,1,2,8,8,25,off,off,flatten,1,1,2
12min 01sec,188785 (0.755ms),804376 (68%),960363 (40%),1918 (44%),8981 (131%),64 (6%),1,1,2,2,8,8,25,off,off,flatten,4,1,1
09min 21sec,938461 (4.011ms),769743 (65%),996462 (42%),1486 (34%),8846 (129%),0 (~0%),1,1,4,1,4,8,5,flatten,off,off,1,8,1
42min 09sec,65806 (0.302ms),800910 (67%),827630 (35%),1082 (25%),4581 (66%),0 (~0%),10,1,8,1,8,8,5,off,flatten,flatten,1,1,1
11min 53sec,234276 (0.937ms),797219 (67%),957560 (40%),2126 (49%),8847 (129%),64 (6%),1,1,1,2,8,8,25,off,off,flatten,1,8,1
05min 21sec,1826012 (7.304ms),33552 (2%),31631 (1%),526 (12%),24 (~0%),0 (~0%),1,1,1,1,1,1,1,off,off,off,1,1,1
07min 39sec,1851192 (7.405ms),53974 (4%),80497 (3%),526 (12%),24 (~0%),0 (~0%),1,20,1,1,1,1,1,off,off,off,1,1,1
06min 08sec,1826392 (7.805ms),33857 (2%),32259 (1%),536 (12%),24 (~0%),0 (~0%),1,1,5,1,1,1,1,off,off,off,1,1,1
06min 27sec,1832657 (7.331ms),37831 (3%),35292 (1%),830 (19%),39 (~0%),0 (~0%),8,1,1,1,1,1,1,off,off,off,1,1,1
06min 20sec,1682141 (6.729ms),66948 (5%),70368 (2%),546 (12%),340 (4%),0 (~0%),1,1,1,1,10,1,1,off,off,off,1,1,1
06min 39sec,1087212 (4.646ms),39773 (3%),41759 (1%),526 (12%),82 (1%),0 (~0%),1,1,1,1,1,1,16,off,off,off,1,1,1
06min 07sec,1136812 (4.547ms),41077 (3%),37849 (1%),1294 (29%),48 (~0%),0 (~0%),1,1,1,1,1,8,1,off,off,off,1,1,1
13min 42sec,1020064 (4.08ms),485623 (41%),698403 (29%),1070 (24%),4400 (64%),0 (~0%),1,1,1,1,1,1,1,off,off,flatten,1,1,1
06min 32sec,1839648 (7.359ms),38257 (3%),34402 (1%),878 (20%),39 (~0%),0 (~0%),16,1,1,1,1,1,1,off,off,off,1,1,1
13min 24sec,1196463 (4.786ms),499646 (42%),765412 (32%),1070 (24%),4400 (64%),0 (~0%),1,5,1,1,1,1,1,off,off,flatten,1,1,1
60min 00sec,,,,,,,1,1,1,8,1,1,1,off,off,flatten,1,1,1
60min 00sec,,,,,,,1,1,1,5,1,1,1,off,off,flatten,1,1,1
12min 14sec,1020064 (4.08ms),485623 (41%),698403 (29%),1070 (24%),4400 (64%),0 (~0%),1,1,1,1,1,1,16,off,off,flatten,1,1,1
04min 57sec,937212 (4.005ms),63731 (5%),70435 (2%),782 (18%),354 (5%),0 (~0%),1,1,1,1,16,1,16,off,off,off,1,1,1
05min 33sec,1112792 (4.756ms),58265 (4%),88895 (3%),526 (12%),82 (1%),0 (~0%),1,1,1,20,1,1,16,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,1,20,1,off,off,flatten,1,1,1
11min 01sec,1052279 (4.209ms),473642 (40%),554105 (23%),1070 (24%),4411 (64%),0 (~0%),1,8,1,1,1,1,1,off,off,flatten,1,1,1
10min 13sec,506288 (2.312ms),136118 (11%),342895 (14%),1952 (45%),3272 (47%),0 (~0%),1,1,1,1,1,20,1,off,off,flatten,1,1,4
14min 03sec,1103023 (4.484ms),537492 (45%),825407 (34%),1070 (24%),4400 (64%),0 (~0%),1,10,1,1,1,1,1,off,off,flatten,1,1,1
05min 37sec,962792 (4.114ms),82224 (6%),117572 (4%),782 (18%),354 (5%),0 (~0%),1,1,1,20,16,1,16,off,off,off,1,1,1
06min 56sec,1020172 (4.36ms),126592 (10%),274381 (11%),782 (18%),354 (5%),0 (~0%),1,10,1,1,16,1,16,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,10,1,1,1,off,off,flatten,1,1,1
05min 38sec,943045 (4.03ms),73444 (6%),76330 (3%),1098 (25%),439 (6%),0 (~0%),10,1,1,1,16,1,16,off,off,off,1,1,1
34min 20sec,313541 (1.34ms),915197 (77%),1595602 (67%),1952 (45%),9691 (141%),0 (~0%),1,1,1,1,1,20,1,off,off,flatten,1,1,8
05min 51sec,1116912 (4.773ms),71986 (6%),103235 (4%),782 (18%),354 (5%),0 (~0%),1,4,1,1,16,1,16,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,16,1,16,off,flatten,off,1,1,1
17min 39sec,332703 (1.526ms),805981 (68%),1116220 (47%),2496 (57%),8801 (128%),0 (~0%),1,1,1,1,1,20,1,flatten,off,flatten,1,1,4
10min 25sec,544288 (2.485ms),130667 (11%),338268 (14%),1304 (30%),3272 (47%),80 (8%),1,1,1,1,1,10,1,off,off,flatten,1,1,4
05min 48sec,920012 (3.932ms),78392 (6%),77234 (3%),782 (18%),354 (5%),0 (~0%),1,1,1,1,16,1,25,off,off,off,1,1,1
10min 22sec,506288 (2.312ms),136118 (11%),342895 (14%),1952 (45%),3272 (47%),0 (~0%),1,1,1,1,1,20,4,off,off,flatten,1,1,4
09min 38sec,505978 (2.31ms),134987 (11%),341278 (14%),1912 (44%),3272 (47%),0 (~0%),1,1,10,1,1,20,1,off,off,flatten,1,1,4
06min 58sec,1113612 (4.759ms),88727 (7%),214202 (9%),782 (18%),354 (5%),0 (~0%),1,5,1,1,16,1,16,off,off,off,1,1,1
10min 34sec,505938 (2.31ms),136110 (11%),344169 (14%),1952 (45%),3272 (47%),0 (~0%),1,1,8,1,1,20,1,off,off,flatten,1,1,4
34min 35sec,313541 (1.34ms),915197 (77%),1595602 (67%),1952 (45%),9691 (141%),0 (~0%),1,1,1,1,1,20,1,off,off,flatten,1,1,8
10min 29sec,508110 (2.32ms),145904 (12%),357530 (15%),1952 (45%),3360 (49%),0 (~0%),1,8,8,1,1,20,1,off,off,flatten,1,1,4
60min 00sec,,,,,,,1,1,10,10,1,20,1,off,off,flatten,1,1,4
10min 44sec,592257 (2.704ms),138338 (11%),346662 (14%),1126 (26%),3359 (49%),80 (8%),1,20,10,1,1,20,1,off,off,flatten,1,1,4
17min 37sec,332353 (1.525ms),805975 (68%),1117494 (47%),2496 (57%),8801 (128%),0 (~0%),1,1,8,1,1,20,1,flatten,off,flatten,1,1,4
17min 28sec,332393 (1.525ms),804822 (68%),1114604 (47%),2456 (56%),8801 (128%),0 (~0%),1,1,10,1,1,20,1,flatten,off,flatten,1,1,4
26min 53sec,446062 (2.037ms),761851 (64%),848559 (35%),1326 (30%),4402 (64%),0 (~0%),1,1,8,1,1,20,1,off,flatten,flatten,1,1,4
11min 02sec,474350 (2.176ms),132528 (11%),329059 (13%),1792 (41%),3269 (47%),0 (~0%),16,1,8,1,1,20,1,off,off,flatten,1,1,4
60min 00sec,,,,,,,1,1,1,8,1,1,1,off,off,flatten,1,1,2
26min 41sec,446062 (2.037ms),761851 (64%),848559 (35%),1326 (30%),4402 (64%),0 (~0%),1,1,8,1,1,10,1,off,flatten,flatten,1,1,4
12min 29sec,611393 (2.792ms),147592 (12%),389704 (16%),1170 (27%),3271 (47%),80 (8%),1,20,8,1,1,20,1,off,off,flatten,1,1,4
11min 01sec,505938 (2.31ms),136110 (11%),344169 (14%),1952 (45%),3272 (47%),0 (~0%),1,1,8,1,1,20,5,off,off,flatten,1,1,4
60min 00sec,,,,,,,1,1,1,8,1,1,1,off,off,flatten,1,1,4
60min 00sec,,,,,,,1,1,10,10,1,20,1,off,off,flatten,1,8,4
27min 44sec,407485 (1.869ms),761920 (64%),838454 (35%),1118 (25%),4426 (64%),0 (~0%),8,1,8,1,1,20,1,off,flatten,flatten,1,1,4
23min 08sec,328543 (1.507ms),992957 (83%),1348421 (57%),1696 (39%),12045 (176%),0 (~0%),1,1,8,1,1,20,1,flatten,off,flatten,2,1,4
60min 00sec,,,,,,,1,1,10,10,1,20,1,off,off,flatten,8,1,4
60min 00sec,,,,,,,1,5,8,1,1,20,1,off,flatten,flatten,1,1,4
53min 32sec,255841 (1.103ms),1372806 (116%),1739463 (73%),3726 (86%),15422 (225%),0 (~0%),1,1,8,4,1,20,1,off,flatten,flatten,1,1,4
27min 29sec,446062 (2.037ms),761851 (64%),848559 (35%),1326 (30%),4402 (64%),0 (~0%),1,1,8,1,1,20,4,off,flatten,flatten,1,1,4
34min 31sec,188647 (0.865ms),477451 (40%),761068 (32%),1294 (29%),3597 (52%),0 (~0%),1,1,1,1,16,1,16,off,flatten,off,1,8,1
08min 41sec,515167 (2.363ms),127057 (10%),343468 (14%),2094 (48%),3299 (48%),0 (~0%),1,1,1,1,16,1,16,off,flatten,off,1,2,1
05min 21sec,1009052 (4.312ms),73119 (6%),82201 (3%),1550 (35%),367 (5%),0 (~0%),1,1,1,1,16,1,16,off,off,off,1,8,1
60min 00sec,,,,,,,8,5,8,1,1,20,1,off,flatten,flatten,1,1,4
26min 13sec,407655 (1.87ms),764336 (64%),840492 (35%),1098 (25%),4426 (64%),0 (~0%),8,1,20,1,1,20,1,off,flatten,flatten,1,1,4
22min 05sec,1204381 (5.377ms),736760 (62%),759834 (32%),574 (13%),4428 (64%),0 (~0%),8,1,8,1,1,20,1,off,flatten,off,1,1,4
37min 03sec,437357 (1.869ms),1698058 (143%),2456832 (103%),2680 (62%),19554 (285%),0 (~0%),1,1,1,1,16,1,10,off,flatten,off,1,8,1
60min 00sec,,,,,,,1,1,10,10,1,20,1,off,off,flatten,1,1,8
25min 59sec,407485 (1.869ms),761920 (64%),838454 (35%),1118 (25%),4426 (64%),0 (~0%),8,1,8,1,1,8,1,off,flatten,flatten,1,1,4
10min 19sec,506288 (2.312ms),136118 (11%),342895 (14%),1952 (45%),3272 (47%),0 (~0%),1,1,1,1,1,20,1,off,off,flatten,1,1,4
26min 04sec,282755 (1.297ms),767296 (64%),844436 (35%),1118 (25%),4492 (65%),0 (~0%),8,1,8,1,4,20,1,off,flatten,flatten,1,1,4
20min 38sec,368939 (1.692ms),492205 (41%),769619 (32%),1294 (29%),3299 (48%),0 (~0%),1,1,1,1,16,1,16,off,flatten,off,1,4,1
34min 44sec,313541 (1.34ms),915197 (77%),1595602 (67%),1952 (45%),9691 (141%),0 (~0%),1,1,1,1,1,20,1,off,off,flatten,1,1,8
33min 53sec,193099 (0.886ms),480460 (40%),771473 (32%),1272 (29%),3629 (53%),0 (~0%),1,1,10,1,16,1,16,off,flatten,off,1,8,1
34min 37sec,158757 (0.728ms),486144 (41%),768531 (32%),878 (20%),3679 (53%),0 (~0%),4,1,1,1,16,1,16,off,flatten,off,1,8,1
60min 00sec,,,,,,,8,1,8,5,1,20,1,off,flatten,flatten,1,1,4
35min 17sec,154457 (0.709ms),483857 (40%),764474 (32%),842 (19%),3680 (53%),0 (~0%),10,1,1,1,16,1,16,off,flatten,off,1,8,1
39min 26sec,563350 (2.407ms),1826554 (154%),2241632 (94%),4878 (112%),22434 (327%),0 (~0%),4,5,1,1,16,1,16,off,flatten,off,1,8,1
34min 53sec,276080 (1.18ms),918214 (77%),1598441 (67%),1744 (40%),9715 (142%),0 (~0%),1,1,1,1,1,20,1,off,off,flatten,2,1,8
34min 52sec,280162 (1.197ms),918243 (77%),1598665 (67%),1744 (40%),9715 (142%),0 (~0%),1,1,1,1,1,20,1,off,off,flatten,8,1,8
60min 00sec,,,,,,,1,1,1,1,16,1,8,off,flatten,off,1,8,1
46min 14sec,170262 (0.781ms),1169826 (98%),1671793 (70%),1582 (36%),12043 (176%),0 (~0%),1,1,1,1,16,1,16,flatten,flatten,off,1,8,1
09min 15sec,581776 (2.669ms),184431 (15%),385775 (16%),1582 (36%),3875 (56%),0 (~0%),4,1,1,1,25,1,16,off,flatten,off,1,8,1
34min 33sec,154227 (0.707ms),484519 (40%),766585 (32%),842 (19%),3680 (53%),0 (~0%),10,1,4,1,16,1,16,off,flatten,off,1,8,1
14min 19sec,365908 (1.678ms),190031 (16%),347382 (14%),2228 (51%),3643 (53%),0 (~0%),10,1,1,1,16,1,10,off,flatten,off,1,8,1
38min 02sec,154485 (0.709ms),484162 (40%),765102 (32%),852 (19%),3680 (53%),0 (~0%),10,1,5,1,16,1,16,off,flatten,off,1,8,1
60min 00sec,,,,,,,1,1,1,5,1,1,1,off,off,flatten,1,1,8
35min 07sec,153662 (0.705ms),486494 (41%),767869 (32%),878 (20%),3679 (53%),0 (~0%),16,1,1,1,16,1,16,off,flatten,off,1,8,1
60min 00sec,,,,,,,10,1,1,1,16,1,16,flatten,flatten,off,1,8,1
33min 59sec,154457 (0.709ms),483857 (40%),764474 (32%),842 (19%),3680 (53%),0 (~0%),10,1,1,1,16,8,16,off,flatten,off,1,8,1
05min 20sec,1826012 (7.304ms),33552 (2%),31631 (1%),526 (12%),24 (~0%),0 (~0%),1,1,1,1,1,1,1,off,off,off,1,1,1
06min 56sec,1839648 (7.359ms),38257 (3%),34402 (1%),878 (20%),39 (~0%),0 (~0%),16,1,1,1,1,1,1,off,off,off,1,1,1
06min 49sec,1843049 (7.372ms),35880 (3%),31810 (1%),866 (20%),39 (~0%),0 (~0%),20,1,1,1,1,1,1,off,off,off,1,1,1
06min 24sec,1889982 (7.56ms),41254 (3%),51232 (2%),526 (12%),35 (~0%),0 (~0%),1,16,1,1,1,1,1,off,off,off,1,1,1
06min 59sec,1825637 (7.303ms),46716 (3%),42497 (1%),526 (12%),66 (~0%),0 (~0%),1,1,16,1,1,1,1,off,off,off,1,1,1
08min 10sec,1908972 (7.76ms),94625 (8%),233790 (9%),526 (12%),24 (~0%),0 (~0%),1,1,1,10,1,1,1,off,off,off,1,1,1
06min 32sec,1682141 (6.729ms),66948 (5%),70368 (2%),546 (12%),340 (4%),0 (~0%),1,1,1,1,10,1,1,off,off,off,1,1,1
06min 53sec,1116561 (4.772ms),48452 (4%),40641 (1%),248 (5%),55 (~0%),64 (6%),1,1,1,1,1,10,1,off,off,off,1,1,1
07min 01sec,1087212 (4.646ms),39773 (3%),41759 (1%),526 (12%),82 (1%),0 (~0%),1,1,1,1,1,1,16,off,off,off,1,1,1
06min 27sec,1093857 (4.675ms),45387 (3%),46774 (1%),1086 (25%),108 (1%),0 (~0%),8,1,1,1,1,1,16,off,off,off,1,1,1
06min 26sec,1100848 (4.704ms),45813 (3%),45884 (1%),1134 (26%),108 (1%),0 (~0%),16,1,1,1,1,1,16,off,off,off,1,1,1
06min 06sec,1099229 (4.698ms),44203 (3%),45825 (1%),1042 (24%),109 (1%),24 (2%),25,1,1,1,1,1,16,off,off,off,1,1,1
05min 51sec,1119028 (4.782ms),46057 (3%),51101 (2%),526 (12%),93 (1%),0 (~0%),1,8,1,1,1,1,16,off,off,off,1,1,1
08min 11sec,1170172 (5.001ms),102620 (8%),245707 (10%),526 (12%),82 (1%),0 (~0%),1,10,1,1,1,1,16,off,off,off,1,1,1
05min 51sec,1151182 (4.92ms),47479 (4%),61360 (2%),526 (12%),93 (1%),0 (~0%),1,16,1,1,1,1,16,off,off,off,1,1,1
06min 01sec,1091990 (4.667ms),68065 (5%),59731 (2%),526 (12%),165 (2%),0 (~0%),1,1,25,1,1,1,16,off,off,off,1,1,1
06min 39sec,1091292 (4.664ms),55182 (4%),62869 (2%),512 (11%),150 (2%),0 (~0%),1,1,20,1,1,1,16,off,off,off,1,1,1
06min 24sec,1087609 (4.648ms),43393 (3%),42902 (1%),1050 (24%),109 (1%),0 (~0%),10,1,1,1,1,1,16,off,off,off,1,1,1
06min 43sec,1105280 (4.723ms),60812 (5%),66135 (2%),1120 (25%),176 (2%),0 (~0%),16,1,20,1,1,1,16,off,off,off,1,1,1
07min 22sec,1112392 (4.754ms),60104 (5%),90625 (3%),526 (12%),82 (1%),0 (~0%),1,20,1,1,1,1,16,off,off,off,1,1,1
08min 40sec,1174242 (5.018ms),117554 (9%),266585 (11%),512 (11%),150 (2%),0 (~0%),1,10,20,1,1,1,16,off,off,off,1,1,1
06min 10sec,1086837 (4.645ms),48686 (4%),49881 (2%),526 (12%),106 (1%),0 (~0%),1,1,16,1,1,1,16,off,off,off,1,1,1
06min 24sec,1092910 (4.671ms),46180 (3%),60397 (2%),526 (12%),104 (1%),0 (~0%),1,1,1,16,1,1,16,off,off,off,1,1,1
06min 57sec,1097774 (4.691ms),65669 (5%),84250 (3%),512 (11%),190 (2%),0 (~0%),1,1,20,16,1,1,16,off,off,off,1,1,1
06min 27sec,939821 (4.016ms),98996 (8%),118585 (5%),868 (20%),592 (8%),0 (~0%),1,1,20,1,20,1,16,off,off,off,1,1,1
06min 28sec,1008278 (4.309ms),96528 (8%),105374 (4%),974 (22%),592 (8%),0 (~0%),16,1,20,1,20,1,16,off,off,off,1,1,1
05min 51sec,1100473 (4.703ms),54721 (4%),54011 (2%),1134 (26%),132 (1%),0 (~0%),16,1,16,1,1,1,16,off,off,off,1,1,1
