compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PARA__L4,__PARA__L6,__PIPE__L0,__PIPE__L1,__PIPE__L2,__PIPE__L5,__TILE__L0,__TILE__L1,__TILE__L2
55min 05sec,498608 (2.14ms),437589 (37%),423147 (17%),122 (2%),935 (13%),0 (~0%),8,1,1,25,16,40,off,off,flatten,off,1,1,1
60min 00sec,,,,,,,1,1,5,25,16,40,off,off,flatten,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,10,10,off,off,flatten,off,8,1,1
34min 53sec,496704 (2.132ms),416687 (35%),406765 (17%),122 (2%),908 (13%),0 (~0%),1,1,1,25,16,2,off,off,flatten,off,1,1,1
04min 25sec,1694269 (7.88ms),253060 (21%),91073 (3%),354 (8%),27 (~0%),5 (~0%),1,1,1,1,5,25,off,off,flatten,off,1,1,8
43min 28sec,489448 (2.101ms),469711 (39%),343598 (14%),122 (2%),1100 (16%),0 (~0%),1,1,1,25,16,25,flatten,off,flatten,off,1,1,1
43min 24sec,489373 (2.1ms),1528787 (129%),1241744 (52%),122 (2%),5555 (81%),0 (~0%),16,1,1,25,16,25,flatten,off,flatten,off,1,1,1
41min 22sec,489448 (2.101ms),469711 (39%),343598 (14%),122 (2%),1100 (16%),0 (~0%),1,1,1,25,16,20,flatten,off,flatten,off,1,1,1
34min 27sec,503824 (2.172ms),415713 (35%),402723 (17%),122 (2%),908 (13%),0 (~0%),1,1,1,4,16,25,off,off,flatten,off,1,1,1
07min 14sec,1655984 (7.702ms),1254470 (106%),415373 (17%),154 (3%),62 (~0%),0 (~0%),1,1,5,1,16,25,off,off,flatten,off,1,4,1
60min 00sec,,,,,,,1,1,1,25,10,25,flatten,off,flatten,off,1,1,1
44min 59sec,507784 (2.277ms),439342 (37%),419907 (17%),122 (2%),908 (13%),0 (~0%),1,1,2,25,16,25,off,off,flatten,off,1,1,1
60min 00sec,,,,,,,10,1,1,25,16,25,flatten,off,flatten,off,1,1,1
03min 12sec,3541441 (14.166ms),15031 (1%),12550 (~0%),154 (3%),14 (~0%),0 (~0%),1,1,1,1,1,1,off,off,off,off,1,1,1
05min 40sec,1979841 (7.919ms),17303 (1%),13570 (~0%),154 (3%),14 (~0%),0 (~0%),1,1,1,1,1,2,off,off,off,off,1,1,1
06min 08sec,3626833 (14.507ms),23207 (1%),34084 (1%),154 (3%),14 (~0%),0 (~0%),2,1,1,1,1,1,off,off,off,off,1,1,1
05min 35sec,3537441 (14.15ms),15801 (1%),13773 (~0%),154 (3%),17 (~0%),0 (~0%),1,1,1,1,2,1,off,off,off,off,1,1,1
06min 17sec,3703270 (14.813ms),43638 (3%),32318 (1%),228 (5%),28 (~0%),0 (~0%),1,5,1,1,1,1,off,off,off,off,1,1,1
05min 47sec,1103180 (4.714ms),36379 (3%),34694 (1%),202 (4%),29 (~0%),0 (~0%),1,1,1,1,1,5,off,off,off,off,1,1,1
05min 38sec,3535441 (14.142ms),17562 (1%),14491 (~0%),154 (3%),23 (~0%),0 (~0%),1,1,1,1,4,1,off,off,off,off,1,1,1
05min 40sec,1224641 (4.899ms),20793 (1%),15350 (~0%),186 (4%),14 (~0%),0 (~0%),1,1,1,1,1,4,off,off,off,off,1,1,1
05min 32sec,1103260 (4.715ms),36561 (3%),34744 (1%),202 (4%),29 (~0%),0 (~0%),1,1,5,1,1,5,off,off,off,off,1,1,1
05min 32sec,1103180 (4.714ms),36509 (3%),34738 (1%),202 (4%),29 (~0%),0 (~0%),1,1,2,1,1,5,off,off,off,off,1,1,1
06min 23sec,655180 (2.812ms),90757 (7%),69094 (2%),122 (2%),82 (1%),0 (~0%),1,1,1,1,1,25,off,off,off,off,1,1,1
06min 01sec,1152792 (4.926ms),43670 (3%),66943 (2%),202 (4%),29 (~0%),0 (~0%),4,1,1,1,1,5,off,off,off,off,1,1,1
05min 32sec,1224641 (4.899ms),20924 (1%),15394 (~0%),186 (4%),14 (~0%),0 (~0%),1,1,4,1,1,4,off,off,off,off,1,1,1
05min 32sec,1224641 (4.899ms),20923 (1%),15394 (~0%),186 (4%),14 (~0%),0 (~0%),1,1,2,1,1,4,off,off,off,off,1,1,1
05min 32sec,1205121 (4.82ms),21031 (1%),15484 (~0%),186 (4%),14 (~0%),0 (~0%),1,1,1,2,1,4,off,off,off,off,1,1,1
05min 32sec,815183 (3.484ms),46368 (3%),39817 (1%),282 (6%),28 (~0%),0 (~0%),1,1,1,1,1,10,off,off,off,off,1,1,1
06min 49sec,633340 (2.707ms),111552 (9%),223497 (9%),122 (2%),82 (1%),0 (~0%),1,1,1,4,1,25,off,off,off,off,1,1,1
05min 17sec,1097180 (4.689ms),39172 (3%),36635 (1%),202 (4%),38 (~0%),0 (~0%),1,1,1,1,4,5,off,off,off,off,1,1,1
06min 56sec,704792 (3.025ms),98002 (8%),101343 (4%),122 (2%),82 (1%),0 (~0%),4,1,1,1,1,25,off,off,off,off,1,1,1
06min 22sec,649180 (2.786ms),93945 (7%),69664 (2%),122 (2%),82 (1%),0 (~0%),1,1,1,1,4,25,off,off,off,off,1,1,1
05min 34sec,1112664 (4.755ms),42562 (3%),46272 (1%),202 (4%),32 (~0%),0 (~0%),8,1,1,1,1,5,off,off,off,off,1,1,1
07min 09sec,682292 (2.916ms),135410 (11%),366706 (15%),122 (2%),82 (1%),0 (~0%),5,1,1,4,1,25,off,off,off,off,1,1,1
06min 09sec,627340 (2.681ms),114740 (9%),224067 (9%),122 (2%),82 (1%),0 (~0%),1,1,1,4,4,25,off,off,off,off,1,1,1
04min 35sec,1218641 (4.875ms),23511 (1%),17291 (~0%),186 (4%),23 (~0%),0 (~0%),1,1,1,1,4,4,off,off,off,off,1,1,1
06min 13sec,1030336 (4.422ms),67158 (5%),51227 (2%),186 (4%),67 (~0%),0 (~0%),1,2,1,1,4,25,off,off,off,off,1,1,1
05min 35sec,649180 (2.786ms),94075 (7%),69708 (2%),122 (2%),82 (1%),0 (~0%),1,1,2,1,4,25,off,off,off,off,1,1,1
04min 33sec,1950881 (7.804ms),17777 (1%),14027 (~0%),154 (3%),14 (~0%),0 (~0%),1,1,1,4,1,2,off,off,off,off,1,1,1
06min 09sec,633340 (2.707ms),111683 (9%),223541 (9%),122 (2%),82 (1%),0 (~0%),1,1,4,4,1,25,off,off,off,off,1,1,1
06min 50sec,682952 (2.919ms),118736 (10%),255746 (10%),122 (2%),82 (1%),0 (~0%),4,1,1,4,1,25,off,off,off,off,1,1,1
06min 09sec,626340 (2.677ms),111256 (9%),224768 (9%),122 (2%),82 (1%),0 (~0%),1,1,1,4,8,25,off,off,off,off,1,1,1
05min 32sec,625500 (2.673ms),91682 (7%),70439 (2%),122 (2%),82 (1%),0 (~0%),1,1,1,5,1,25,off,off,off,off,1,1,1
04min 26sec,1944881 (7.78ms),20692 (1%),15968 (~0%),154 (3%),23 (~0%),0 (~0%),1,1,1,4,4,2,off,off,off,off,1,1,1
06min 07sec,1001428 (4.28ms),63345 (5%),47615 (2%),222 (5%),49 (~0%),0 (~0%),1,2,1,4,1,25,off,off,off,off,1,1,1
17min 15sec,703077 (3.005ms),173359 (14%),231647 (9%),122 (2%),209 (3%),0 (~0%),1,1,1,4,10,25,off,off,off,off,1,1,1
05min 59sec,999468 (4.271ms),93437 (7%),72106 (3%),218 (5%),139 (2%),0 (~0%),1,4,1,4,8,25,off,off,off,off,1,1,1
06min 46sec,675292 (2.886ms),135114 (11%),367977 (15%),122 (2%),82 (1%),0 (~0%),5,1,1,4,8,25,off,off,off,off,1,1,1
05min 54sec,1001428 (4.28ms),73631 (6%),57015 (2%),218 (5%),91 (1%),0 (~0%),1,2,1,4,8,25,off,off,off,off,1,1,1
04min 18sec,1968481 (8.412ms),22665 (1%),15333 (~0%),186 (4%),14 (~0%),0 (~0%),1,1,1,5,1,2,off,off,off,off,1,1,1
12min 33sec,612148 (2.627ms),286454 (24%),289384 (12%),122 (2%),340 (4%),0 (~0%),1,1,1,5,1,25,flatten,off,off,off,1,1,1
05min 04sec,636380 (2.743ms),94888 (8%),95046 (4%),122 (2%),82 (1%),0 (~0%),1,1,1,2,1,25,off,off,off,off,1,1,1
04min 35sec,625580 (2.673ms),91867 (7%),70489 (2%),122 (2%),82 (1%),0 (~0%),1,1,5,5,1,25,off,off,off,off,1,1,1
05min 46sec,674452 (2.882ms),115503 (9%),213648 (9%),122 (2%),82 (1%),0 (~0%),5,1,1,5,1,25,off,off,off,off,1,1,1
04min 35sec,619100 (2.657ms),91844 (7%),72427 (3%),122 (2%),82 (1%),0 (~0%),1,1,1,25,1,25,off,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,5,5,25,flatten,off,off,off,1,1,1
07min 09sec,985101 (4.228ms),226823 (19%),161435 (6%),164 (3%),330 (4%),0 (~0%),1,5,1,5,1,25,flatten,off,off,off,1,1,1
12min 25sec,612148 (2.627ms),286584 (24%),289439 (12%),122 (2%),340 (4%),0 (~0%),1,1,2,5,1,25,flatten,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,5,5,25,flatten,off,off,off,4,1,1
12min 21sec,612148 (2.627ms),286454 (24%),289384 (12%),122 (2%),340 (4%),0 (~0%),1,1,1,4,1,25,flatten,off,off,off,1,1,1
06min 47sec,987419 (4.238ms),211355 (17%),152969 (6%),158 (3%),319 (4%),0 (~0%),1,2,1,5,1,25,flatten,off,off,off,1,1,1
04min 11sec,1284006 (5.511ms),109054 (9%),87442 (3%),406 (9%),352 (5%),0 (~0%),1,1,1,5,5,25,flatten,off,off,off,1,2,1
12min 30sec,3498548 (13.994ms),280090 (23%),278270 (11%),122 (2%),308 (4%),0 (~0%),1,1,1,5,1,1,flatten,off,off,off,1,1,1
12min 21sec,1181748 (4.727ms),284570 (24%),279628 (11%),122 (2%),308 (4%),0 (~0%),1,1,1,5,1,4,flatten,off,off,off,1,1,1
13min 16sec,612088 (2.627ms),520850 (44%),470542 (19%),122 (2%),1231 (17%),0 (~0%),4,1,1,5,1,25,flatten,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,5,5,25,flatten,off,off,off,80,1,1
12min 19sec,612148 (2.627ms),286454 (24%),289384 (12%),122 (2%),340 (4%),0 (~0%),1,1,1,2,1,25,flatten,off,off,off,1,1,1
04min 24sec,1282986 (5.506ms),112872 (9%),91510 (3%),436 (10%),352 (5%),0 (~0%),1,1,1,5,5,25,flatten,off,off,off,1,8,1
60min 00sec,,,,,,,1,1,1,5,5,25,flatten,off,off,off,8,1,1
60min 00sec,,,,,,,1,1,1,5,5,25,flatten,off,off,off,2,1,1
04min 17sec,1282351 (5.504ms),109068 (9%),87457 (3%),406 (9%),352 (5%),0 (~0%),1,1,1,5,5,25,flatten,off,off,off,1,4,1
04min 17sec,1330508 (5.71ms),99695 (8%),83250 (3%),404 (9%),339 (4%),5 (~0%),1,1,1,5,5,25,flatten,off,off,off,80,1,8
04min 53sec,1408070 (6.043ms),108214 (9%),100607 (4%),404 (9%),339 (4%),5 (~0%),1,1,1,5,5,25,flatten,off,off,off,80,1,4
04min 24sec,1337122 (5.763ms),66845 (5%),56488 (2%),404 (9%),178 (2%),5 (~0%),1,1,1,5,5,25,flatten,off,off,off,8,1,8
04min 58sec,1614025 (6.957ms),80231 (6%),81789 (3%),404 (9%),178 (2%),5 (~0%),1,1,1,5,5,25,flatten,off,off,off,8,1,2
15min 37sec,605108 (2.597ms),358970 (30%),368530 (15%),122 (2%),637 (9%),0 (~0%),2,1,1,5,8,25,flatten,off,off,off,1,1,1
04min 57sec,1414684 (6.098ms),75364 (6%),74098 (3%),404 (9%),178 (2%),5 (~0%),1,1,1,5,5,25,flatten,off,off,off,8,1,4
13min 39sec,605078 (2.597ms),778844 (65%),710611 (30%),122 (2%),2419 (35%),0 (~0%),8,1,1,5,8,25,flatten,off,off,off,1,1,1
04min 37sec,1414117 (6.095ms),76316 (6%),78152 (3%),404 (9%),178 (2%),5 (~0%),1,1,1,5,5,25,flatten,off,off,off,4,1,4
04min 26sec,1288700 (5.555ms),80199 (6%),65536 (2%),434 (10%),191 (2%),0 (~0%),1,1,1,5,5,25,flatten,off,off,off,2,8,1
04min 10sec,1282351 (5.504ms),109068 (9%),87457 (3%),406 (9%),352 (5%),0 (~0%),1,1,1,5,5,25,flatten,off,off,off,80,4,1
05min 00sec,1613349 (6.954ms),80720 (6%),83838 (3%),404 (9%),178 (2%),5 (~0%),1,1,1,5,5,25,flatten,off,off,off,2,1,2
13min 18sec,22598 (0.09ms),792002 (66%),642668 (27%),122 (2%),2779 (40%),0 (~0%),8,1,1,5,8,25,flatten,off,off,flatten,1,1,1
05min 03sec,1607411 (6.899ms),113770 (9%),109136 (4%),404 (9%),342 (5%),5 (~0%),1,1,1,5,5,25,flatten,off,off,off,80,1,2
11min 55sec,22628 (0.091ms),372074 (31%),300587 (12%),122 (2%),997 (14%),0 (~0%),2,1,1,5,8,25,flatten,off,off,flatten,1,1,1
60min 00sec,,,,,,,1,1,1,5,5,25,flatten,off,off,off,80,1,80
60min 00sec,,,,,,,8,2,1,5,8,25,flatten,off,off,flatten,1,1,1
60min 00sec,,,,,,,8,10,1,5,8,25,flatten,off,off,flatten,1,1,1
23min 13sec,22604 (0.09ms),639469 (54%),465883 (19%),122 (2%),1888 (27%),0 (~0%),5,1,1,5,8,25,flatten,off,off,flatten,1,1,1
12min 58sec,22668 (0.091ms),299443 (25%),222712 (9%),122 (2%),700 (10%),0 (~0%),1,1,1,5,8,25,flatten,off,off,flatten,1,1,1
14min 38sec,22598 (0.09ms),792132 (67%),642701 (27%),122 (2%),2779 (40%),0 (~0%),8,1,2,5,8,25,flatten,off,off,flatten,1,1,1
13min 05sec,22598 (0.09ms),792002 (66%),642668 (27%),122 (2%),2779 (40%),0 (~0%),8,1,1,5,8,1,flatten,off,off,flatten,1,1,1
12min 57sec,22598 (0.09ms),792002 (66%),642668 (27%),122 (2%),2779 (40%),0 (~0%),8,1,1,2,8,25,flatten,off,off,flatten,1,1,1
13min 20sec,29598 (0.118ms),792120 (67%),641397 (27%),122 (2%),2779 (40%),0 (~0%),8,1,1,5,1,25,flatten,off,off,flatten,1,1,1
12min 52sec,489878 (2.102ms),789054 (66%),655228 (27%),122 (2%),3179 (46%),0 (~0%),8,1,1,5,8,25,flatten,off,flatten,flatten,1,1,1
42min 02sec,22593 (0.09ms),1550101 (131%),1227474 (51%),122 (2%),5155 (75%),0 (~0%),16,1,1,5,8,25,flatten,off,off,flatten,1,1,1
04min 18sec,1290396 (5.562ms),75924 (6%),59419 (2%),404 (9%),191 (2%),0 (~0%),1,1,1,5,5,25,flatten,off,off,off,8,2,1
04min 23sec,1288065 (5.552ms),76429 (6%),61483 (2%),404 (9%),191 (2%),0 (~0%),1,1,1,5,5,25,flatten,off,off,off,2,4,1
14min 01sec,22598 (0.09ms),792002 (66%),642668 (27%),122 (2%),2779 (40%),0 (~0%),8,1,1,5,8,4,flatten,off,off,flatten,1,1,1
60min 00sec,,,,,,,8,1,1,5,5,25,flatten,off,off,flatten,1,1,1
12min 58sec,22678 (0.091ms),792152 (67%),642704 (27%),122 (2%),2779 (40%),0 (~0%),8,1,5,5,8,25,flatten,off,off,flatten,1,1,1
14min 44sec,38548 (0.165ms),270175 (22%),250581 (10%),122 (2%),556 (8%),0 (~0%),8,1,1,5,8,25,off,off,off,flatten,1,1,1
13min 41sec,22598 (0.09ms),792002 (66%),642668 (27%),122 (2%),2779 (40%),0 (~0%),8,1,1,5,8,2,flatten,off,off,flatten,1,1,1
13min 19sec,25598 (0.102ms),794059 (67%),641715 (27%),122 (2%),2779 (40%),0 (~0%),8,1,1,5,2,25,flatten,off,off,flatten,1,1,1
13min 07sec,22678 (0.091ms),792157 (67%),642707 (27%),122 (2%),2779 (40%),0 (~0%),8,1,10,5,8,25,flatten,off,off,flatten,1,1,1
13min 13sec,22598 (0.09ms),792002 (66%),642668 (27%),122 (2%),2779 (40%),0 (~0%),8,1,1,4,8,25,flatten,off,off,flatten,1,1,1
13min 08sec,22598 (0.09ms),792133 (67%),642701 (27%),122 (2%),2779 (40%),0 (~0%),8,1,4,5,8,25,flatten,off,off,flatten,1,1,1
60min 00sec,,,,,,,8,1,1,5,10,25,flatten,off,off,flatten,1,1,1
13min 23sec,22598 (0.09ms),792002 (66%),642668 (27%),122 (2%),2779 (40%),0 (~0%),8,1,1,10,8,25,flatten,off,off,flatten,1,1,1
60min 00sec,,,,,,,20,1,1,5,8,25,flatten,off,off,flatten,1,1,1
60min 00sec,,,,,,,8,4,1,5,8,25,flatten,off,off,flatten,1,1,1
13min 05sec,22598 (0.09ms),792002 (66%),642668 (27%),122 (2%),2779 (40%),0 (~0%),8,1,1,5,8,10,flatten,off,off,flatten,1,1,1
13min 13sec,22598 (0.09ms),792134 (67%),642698 (27%),122 (2%),2779 (40%),0 (~0%),8,1,16,5,8,25,flatten,off,off,flatten,1,1,1
12min 54sec,22598 (0.09ms),792002 (66%),642668 (27%),122 (2%),2779 (40%),0 (~0%),8,1,1,5,8,5,flatten,off,off,flatten,1,1,1
04min 28sec,1282986 (5.506ms),112872 (9%),91510 (3%),436 (10%),352 (5%),0 (~0%),1,1,1,5,5,25,flatten,off,off,off,80,8,1
60min 00sec,,,,,,,1,1,1,5,5,25,flatten,off,off,off,8,100,1
04min 30sec,1289376 (5.558ms),79708 (6%),63487 (2%),434 (10%),191 (2%),0 (~0%),1,1,1,5,5,25,flatten,off,off,off,8,8,1
04min 19sec,1289720 (5.559ms),76415 (6%),61468 (2%),404 (9%),191 (2%),0 (~0%),1,1,1,5,5,25,flatten,off,off,off,2,2,1
38min 22sec,22098 (0.088ms),1017537 (86%),749752 (31%),122 (2%),2779 (40%),0 (~0%),8,1,1,5,16,25,flatten,off,off,flatten,1,1,1
12min 15sec,22608 (0.09ms),533866 (45%),403870 (17%),122 (2%),1591 (23%),0 (~0%),4,1,1,5,8,25,flatten,off,off,flatten,1,1,1
14min 32sec,22678 (0.091ms),792155 (67%),642704 (27%),122 (2%),2779 (40%),0 (~0%),8,1,20,5,8,25,flatten,off,off,flatten,1,1,1
13min 08sec,22598 (0.09ms),792002 (66%),642668 (27%),122 (2%),2779 (40%),0 (~0%),8,1,1,20,8,25,flatten,off,off,flatten,1,1,1
60min 00sec,,,,,,,8,5,1,5,8,25,flatten,off,off,flatten,1,1,1
60min 00sec,,,,,,,8,1,1,5,20,25,flatten,off,off,flatten,1,1,1
13min 01sec,22598 (0.09ms),792002 (66%),642668 (27%),122 (2%),2779 (40%),0 (~0%),8,1,1,5,8,100,flatten,off,off,flatten,1,1,1
60min 00sec,,,,,,,8,25,1,5,8,25,flatten,off,off,flatten,1,1,1
60min 00sec,,,,,,,8,1,1,5,80,25,flatten,off,off,flatten,1,1,1
03min 32sec,3541441 (14.166ms),15031 (1%),12550 (~0%),154 (3%),14 (~0%),0 (~0%),1,1,1,1,1,1,off,off,off,off,1,1,1
07min 15sec,3524481 (15.127ms),72115 (6%),36502 (1%),186 (4%),35 (~0%),0 (~0%),1,1,1,25,1,1,off,off,off,off,1,1,1
05min 01sec,3541521 (14.166ms),15193 (1%),12600 (~0%),154 (3%),14 (~0%),0 (~0%),1,1,10,1,1,1,off,off,off,off,1,1,1
05min 16sec,3541441 (14.166ms),15164 (1%),12594 (~0%),154 (3%),14 (~0%),0 (~0%),1,1,8,1,1,1,off,off,off,off,1,1,1
05min 54sec,687180 (2.949ms),78332 (6%),61496 (2%),122 (2%),71 (1%),0 (~0%),1,1,1,1,1,20,off,off,off,off,1,1,1
07min 47sec,3702368 (14.809ms),147967 (12%),88693 (3%),268 (6%),86 (1%),0 (~0%),1,25,1,1,1,1,off,off,off,off,1,1,1
06min 10sec,3524881 (15.128ms),52818 (4%),35427 (1%),186 (4%),32 (~0%),0 (~0%),1,1,1,20,1,1,off,off,off,off,1,1,1
05min 04sec,3535441 (14.142ms),17562 (1%),14491 (~0%),154 (3%),23 (~0%),0 (~0%),1,1,1,1,4,1,off,off,off,off,1,1,1
06min 17sec,3571705 (14.46ms),76944 (6%),216008 (9%),154 (3%),14 (~0%),0 (~0%),10,1,1,1,1,1,off,off,off,off,1,1,1
11min 49sec,644148 (2.765ms),286085 (24%),287091 (12%),122 (2%),332 (4%),0 (~0%),1,1,1,1,1,20,flatten,off,off,off,1,1,1
04min 23sec,619100 (2.657ms),91844 (7%),72427 (3%),122 (2%),82 (1%),0 (~0%),1,1,1,25,1,25,off,off,off,off,1,1,1
11min 04sec,503840 (2.162ms),248283 (21%),247187 (10%),122 (2%),908 (13%),0 (~0%),1,1,1,25,1,1,off,off,flatten,off,1,1,1
05min 28sec,3524481 (15.127ms),72248 (6%),36546 (1%),186 (4%),35 (~0%),0 (~0%),1,1,8,25,1,1,off,off,off,off,1,1,1
06min 48sec,1014368 (4.354ms),176154 (14%),108416 (4%),236 (5%),115 (1%),0 (~0%),1,25,1,1,1,20,off,off,off,off,1,1,1
04min 07sec,653820 (2.818ms),80410 (6%),64032 (2%),122 (2%),71 (1%),0 (~0%),1,1,1,10,1,20,off,off,off,off,1,1,1
04min 59sec,1014548 (4.354ms),97742 (8%),66133 (2%),206 (4%),71 (1%),0 (~0%),1,10,1,1,1,20,off,off,off,off,1,1,1
33min 34sec,763237 (3.276ms),250287 (21%),180681 (7%),122 (2%),231 (3%),0 (~0%),1,1,1,1,20,20,off,off,off,off,1,1,1
05min 00sec,633340 (2.707ms),111552 (9%),223497 (9%),122 (2%),82 (1%),0 (~0%),1,1,1,4,1,25,off,off,off,off,1,1,1
04min 41sec,613100 (2.631ms),95057 (8%),72997 (3%),122 (2%),82 (1%),0 (~0%),1,1,1,25,4,25,off,off,off,off,1,1,1
04min 40sec,621900 (2.681ms),95315 (8%),71733 (3%),122 (2%),82 (1%),0 (~0%),1,1,1,10,1,25,off,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,25,20,1,off,off,flatten,off,1,1,1
11min 05sec,505840 (2.171ms),247703 (20%),244307 (10%),122 (2%),908 (13%),0 (~0%),1,1,1,10,1,1,off,off,flatten,off,1,1,1
42min 16sec,517448 (2.385ms),366195 (30%),364880 (15%),122 (2%),908 (13%),0 (~0%),1,1,10,25,1,1,off,off,flatten,off,1,1,1
06min 03sec,1593051 (7.341ms),1089559 (92%),125494 (5%),294 (6%),199 (2%),0 (~0%),1,1,1,25,20,1,off,off,flatten,off,1,2,1
60min 00sec,,,,,,,1,1,1,25,1,1,off,flatten,flatten,off,1,1,1
11min 45sec,509440 (2.196ms),247401 (20%),243344 (10%),122 (2%),908 (13%),0 (~0%),1,1,1,5,1,1,off,off,flatten,off,1,1,1
06min 27sec,1591131 (7.332ms),1089568 (92%),125513 (5%),294 (6%),199 (2%),0 (~0%),1,1,1,25,20,1,off,off,flatten,off,1,4,1
11min 44sec,503840 (2.162ms),248283 (21%),247187 (10%),122 (2%),908 (13%),0 (~0%),1,1,1,25,1,20,off,off,flatten,off,1,1,1
11min 24sec,503840 (2.162ms),248283 (21%),247187 (10%),122 (2%),908 (13%),0 (~0%),1,1,1,25,1,25,off,off,flatten,off,1,1,1
11min 41sec,520400 (2.233ms),247159 (20%),242758 (10%),122 (2%),908 (13%),0 (~0%),1,1,1,2,1,1,off,off,flatten,off,1,1,1
07min 25sec,1628428 (7.368ms),2395668 (202%),289866 (12%),282 (6%),363 (5%),0 (~0%),1,1,1,25,1,1,off,flatten,flatten,off,1,1,8
14min 40sec,534104 (2.292ms),309851 (26%),450351 (19%),122 (2%),908 (13%),0 (~0%),10,1,1,25,1,1,off,off,flatten,off,1,1,1
11min 48sec,503840 (2.162ms),248283 (21%),247187 (10%),122 (2%),908 (13%),0 (~0%),1,1,1,25,1,1,off,off,flatten,flatten,1,1,1
11min 48sec,503840 (2.162ms),248283 (21%),247187 (10%),122 (2%),908 (13%),0 (~0%),1,1,1,25,1,10,off,off,flatten,off,1,1,1
08min 41sec,1706008 (7.719ms),2408909 (203%),307270 (12%),282 (6%),363 (5%),0 (~0%),1,1,1,25,1,1,off,flatten,flatten,off,1,1,4
60min 00sec,,,,,,,1,1,1,25,8,1,off,flatten,flatten,off,1,1,1
60min 00sec,,,,,,,1,1,1,25,1,1,off,flatten,flatten,off,1,1,80
60min 00sec,,,,,,,1,1,1,25,8,1,off,flatten,flatten,off,2,1,1
11min 16sec,496840 (2.132ms),248144 (20%),248458 (10%),122 (2%),908 (13%),0 (~0%),1,1,1,25,8,1,off,off,flatten,off,1,1,1
09min 22sec,1709119 (7.734ms),2440959 (206%),317682 (13%),122 (2%),387 (5%),0 (~0%),1,1,1,25,1,1,off,flatten,flatten,off,1,2,4
60min 00sec,,,,,,,1,1,1,25,1,1,off,flatten,flatten,off,4,1,1
08min 35sec,1706008 (7.719ms),2408909 (203%),307270 (12%),282 (6%),363 (5%),0 (~0%),1,1,1,25,1,1,off,flatten,flatten,off,1,1,4
06min 38sec,1591131 (7.332ms),1089568 (92%),125513 (5%),294 (6%),199 (2%),0 (~0%),1,1,1,25,20,1,off,off,flatten,off,1,4,1
08min 44sec,1905368 (8.622ms),2407718 (203%),315093 (13%),282 (6%),363 (5%),0 (~0%),1,1,1,25,1,1,off,flatten,flatten,off,1,1,2
08min 31sec,1706008 (7.719ms),2408909 (203%),307270 (12%),282 (6%),363 (5%),0 (~0%),1,1,1,25,1,1,off,flatten,flatten,off,1,1,4
11min 55sec,489948 (2.103ms),296558 (25%),235272 (9%),122 (2%),1100 (16%),0 (~0%),1,1,1,25,8,1,flatten,off,flatten,off,1,1,1
60min 00sec,,,,,,,1,1,1,25,8,1,flatten,flatten,flatten,off,1,1,1
07min 55sec,1588111 (7.186ms),2423306 (204%),249156 (10%),122 (2%),387 (5%),0 (~0%),1,1,1,25,8,1,off,flatten,flatten,off,1,4,1
06min 34sec,1591131 (7.332ms),1089568 (92%),125513 (5%),294 (6%),199 (2%),0 (~0%),1,1,1,25,20,1,off,off,flatten,off,1,4,1
60min 00sec,,,,,,,1,1,1,25,8,1,off,flatten,flatten,off,8,1,1
07min 57sec,1629822 (7.511ms),2401585 (203%),292027 (12%),282 (6%),390 (5%),0 (~0%),1,1,1,25,1,1,off,flatten,flatten,off,8,1,8
08min 45sec,1588095 (7.186ms),2491164 (210%),315154 (13%),122 (2%),603 (8%),0 (~0%),1,1,1,25,8,1,off,flatten,flatten,off,1,8,1
60min 00sec,,,,,,,1,1,1,25,16,10,flatten,flatten,flatten,off,1,1,1
09min 03sec,1707402 (7.868ms),2415138 (204%),309303 (13%),282 (6%),390 (5%),0 (~0%),1,1,1,25,1,1,off,flatten,flatten,off,8,1,4
08min 37sec,1706008 (7.719ms),2408909 (203%),307270 (12%),282 (6%),363 (5%),0 (~0%),1,1,1,25,1,1,off,flatten,flatten,off,1,1,4
06min 31sec,3571705 (14.46ms),76944 (6%),216008 (9%),154 (3%),14 (~0%),0 (~0%),10,1,1,1,1,1,off,off,off,off,1,1,1
07min 11sec,3702348 (14.809ms),121935 (10%),74599 (3%),258 (5%),71 (1%),0 (~0%),1,20,1,1,1,1,off,off,off,off,1,1,1
05min 12sec,3541441 (14.166ms),15163 (1%),12594 (~0%),154 (3%),14 (~0%),0 (~0%),1,1,16,1,1,1,off,off,off,off,1,1,1
06min 04sec,3524881 (15.128ms),52818 (4%),35427 (1%),186 (4%),32 (~0%),0 (~0%),1,1,1,20,1,1,off,off,off,off,1,1,1
05min 17sec,3624037 (14.496ms),41280 (3%),41757 (1%),162 (3%),162 (2%),0 (~0%),1,1,1,1,10,1,off,off,off,off,1,1,1
06min 10sec,655180 (2.812ms),90757 (7%),69094 (2%),122 (2%),82 (1%),0 (~0%),1,1,1,1,1,25,off,off,off,off,1,1,1
