compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PARA__L4,__PIPE__L0,__PIPE__L1,__PIPE__L2,__TILE__L0,__TILE__L1,__TILE__L2
03min 43sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),10,1,1,1,1,off,off,off,1,1,1
03min 42sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),20,1,1,1,1,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,4,4,1
03min 22sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),40,1,1,1,1,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,2,1,1
03min 41sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),1,1,1,8,1,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,8,4,1
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,2,4,1
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,2,1,8
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,4,1,88
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,4,1,8
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,40,1,8
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,4,8,1
04min 51sec,4000241 (16.001ms),296921 (25%),261674 (11%),1262 (29%),1789 (26%),0 (~0%),1,1,1,1,88,off,off,off,1,2,1
03min 33sec,2797804 (12.164ms),15851 (1%),12969 (~0%),262 (6%),22 (~0%),0 (~0%),1,1,88,1,1,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,1,1,88
14min 08sec,948924 (3.796ms),129737 (10%),94072 (3%),220 (5%),440 (6%),0 (~0%),1,1,1,22,1,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,8,1,1
05min 43sec,4244201 (16.977ms),208293 (17%),188423 (7%),1108 (25%),1255 (18%),0 (~0%),1,1,1,1,88,off,off,off,1,1,8
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,4,1,1
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,8,1,2
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,40,1,1
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,8,1,4
03min 42sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),1,1,1,1,8,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,1,1,88
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,40,1,1
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,40,4,1
03min 21sec,2797764 (12.164ms),15846 (1%),12968 (~0%),262 (6%),22 (~0%),0 (~0%),1,88,1,1,1,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,1,2,1
06min 29sec,4306601 (17.226ms),240339 (20%),354465 (14%),1108 (25%),1255 (18%),0 (~0%),1,1,1,1,88,off,off,off,1,1,2
09min 38sec,4250601 (18.243ms),342130 (28%),538666 (22%),1108 (25%),1241 (18%),0 (~0%),1,1,1,1,88,off,off,off,1,1,4
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,1,88,1
03min 36sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),2,1,1,1,1,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,1,8,1
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,1,2,8
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,1,8,8
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,8,8,1
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,8,4,1
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,1,4,8
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,2,1,1
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,8,2,1
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,8,88,1
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,8,1,88
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,4,2,1
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,4,4,1
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,4,88,1
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,1,88,8
09min 59sec,4250601 (18.243ms),342130 (28%),538666 (22%),1108 (25%),1241 (18%),0 (~0%),1,1,1,1,1,off,off,flatten,1,1,4
60min 00sec,,,,,,,1,1,1,1,1,off,off,flatten,1,1,88
60min 00sec,,,,,,,1,1,1,1,1,off,off,flatten,2,1,1
60min 00sec,,,,,,,1,1,1,1,1,off,off,flatten,4,1,1
60min 00sec,,,,,,,1,1,1,1,1,off,off,flatten,8,1,1
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,1,88,1
03min 30sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),1,1,1,1,1,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,1,1,1
04min 49sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),8,1,1,1,1,off,off,off,1,1,1
04min 58sec,2556524 (11.621ms),19101 (1%),16414 (~0%),238 (5%),43 (~0%),0 (~0%),1,11,1,1,1,off,off,off,1,1,1
04min 58sec,2505404 (10.022ms),19197 (1%),16089 (~0%),234 (5%),42 (~0%),0 (~0%),1,1,2,1,1,off,off,off,1,1,1
06min 52sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),1,1,1,1,11,off,off,off,1,1,1
04min 48sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),4,1,1,1,1,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,1,off,off,flatten,1,1,1
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,1,1,8
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,8,1,1
03min 43sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),10,1,1,1,1,off,off,off,1,1,1
05min 55sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),1,1,1,11,1,off,off,off,1,1,1
03min 50sec,2513964 (11.427ms),19269 (1%),15827 (~0%),234 (5%),42 (~0%),0 (~0%),1,1,4,1,1,off,off,off,1,1,1
03min 46sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),8,8,1,1,1,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,1,1,2
03min 19sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),1,1,1,1,1,off,off,off,1,1,1
05min 00sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),40,1,1,1,1,off,off,off,1,1,1
05min 04sec,2627004 (13.135ms),19099 (1%),16418 (~0%),230 (5%),43 (~0%),2 (~0%),1,22,1,1,1,off,off,off,1,1,1
05min 04sec,2627004 (13.135ms),19099 (1%),16418 (~0%),230 (5%),43 (~0%),2 (~0%),1,1,22,1,1,off,off,off,1,1,1
15min 38sec,948924 (3.796ms),129737 (10%),94072 (3%),220 (5%),440 (6%),0 (~0%),1,1,1,22,1,off,off,off,1,1,1
15min 50sec,948924 (3.796ms),129737 (10%),94072 (3%),220 (5%),440 (6%),0 (~0%),1,1,1,1,22,off,off,off,1,1,1
04min 29sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),8,1,1,1,1,off,off,off,1,1,1
04min 30sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),8,1,1,1,1,off,off,off,1,1,1
04min 35sec,2627004 (13.135ms),19099 (1%),16418 (~0%),230 (5%),43 (~0%),2 (~0%),40,22,1,1,1,off,off,off,1,1,1
04min 33sec,2556524 (11.621ms),19101 (1%),16414 (~0%),238 (5%),43 (~0%),0 (~0%),40,11,1,1,1,off,off,off,1,1,1
04min 35sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),40,8,1,1,1,off,off,off,1,1,1
04min 35sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),40,1,8,1,1,off,off,off,1,1,1
06min 32sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),40,1,1,11,1,off,off,off,1,1,1
14min 49sec,948924 (3.796ms),129737 (10%),94072 (3%),220 (5%),440 (6%),0 (~0%),40,1,1,1,22,off,off,off,1,1,1
03min 46sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),10,1,1,1,1,off,off,off,1,1,1
03min 47sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),10,1,1,1,1,off,off,off,1,1,1
03min 47sec,2513964 (11.427ms),19269 (1%),15827 (~0%),234 (5%),42 (~0%),0 (~0%),40,4,1,1,1,off,off,off,1,1,1
03min 54sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),40,8,1,1,1,off,off,off,1,1,1
03min 54sec,2556524 (11.621ms),19101 (1%),16414 (~0%),238 (5%),43 (~0%),0 (~0%),40,1,11,1,1,off,off,off,1,1,1
14min 12sec,948924 (3.796ms),129737 (10%),94072 (3%),220 (5%),440 (6%),0 (~0%),40,1,1,22,1,off,off,off,1,1,1
03min 58sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),40,1,1,1,8,off,off,off,1,1,1
60min 00sec,,,,,,,40,1,1,1,1,off,flatten,off,1,1,1
03min 49sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),8,1,1,1,1,off,off,off,1,1,1
03min 42sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),10,1,1,1,1,off,off,off,1,1,1
03min 56sec,2513964 (11.427ms),19269 (1%),15827 (~0%),234 (5%),42 (~0%),0 (~0%),40,1,4,1,1,off,off,off,1,1,1
03min 59sec,2627004 (13.135ms),19099 (1%),16418 (~0%),230 (5%),43 (~0%),2 (~0%),40,1,22,1,1,off,off,off,1,1,1
03min 52sec,1012244 (4.049ms),25609 (2%),25793 (1%),124 (2%),80 (1%),0 (~0%),40,1,1,4,1,off,off,off,1,1,1
04min 03sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),40,1,1,8,1,off,off,off,1,1,1
03min 49sec,1012244 (4.049ms),25609 (2%),25793 (1%),124 (2%),80 (1%),0 (~0%),40,1,1,1,4,off,off,off,1,1,1
05min 57sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),40,1,1,1,11,off,off,off,1,1,1
03min 39sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),2,1,1,1,1,off,off,off,1,1,1
03min 32sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),4,1,1,1,1,off,off,off,1,1,1
03min 45sec,2505404 (10.022ms),19197 (1%),16089 (~0%),234 (5%),42 (~0%),0 (~0%),1,2,1,1,1,off,off,off,1,1,1
03min 43sec,2513964 (11.427ms),19269 (1%),15827 (~0%),234 (5%),42 (~0%),0 (~0%),1,4,1,1,1,off,off,off,1,1,1
03min 34sec,2513964 (11.427ms),19269 (1%),15827 (~0%),234 (5%),42 (~0%),0 (~0%),40,4,1,1,1,off,off,off,1,1,1
03min 41sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),40,8,1,1,1,off,off,off,1,1,1
03min 41sec,2505404 (10.022ms),19197 (1%),16089 (~0%),234 (5%),42 (~0%),0 (~0%),1,1,2,1,1,off,off,off,1,1,1
03min 36sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),8,1,1,1,1,off,off,off,1,1,1
03min 37sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),1,8,1,1,1,off,off,off,1,1,1
03min 37sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),1,1,8,1,1,off,off,off,1,1,1
03min 55sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),1,1,1,8,1,off,off,off,1,1,1
05min 45sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),1,1,1,11,1,off,off,off,1,1,1
05min 44sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),40,1,1,11,1,off,off,off,1,1,1
03min 48sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),40,1,1,1,8,off,off,off,1,1,1
03min 57sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),8,1,1,1,1,off,off,off,1,1,1
03min 56sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),8,1,1,1,1,off,off,off,1,1,1
04min 05sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),40,8,1,1,1,off,off,off,1,1,1
04min 05sec,2556524 (11.621ms),19101 (1%),16414 (~0%),238 (5%),43 (~0%),0 (~0%),40,11,1,1,1,off,off,off,1,1,1
03min 56sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),40,1,8,1,1,off,off,off,1,1,1
14min 08sec,948924 (3.796ms),129737 (10%),94072 (3%),220 (5%),440 (6%),0 (~0%),40,1,1,22,1,off,off,off,1,1,1
04min 12sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),40,1,1,1,8,off,off,off,1,1,1
06min 17sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),40,1,1,1,11,off,off,off,1,1,1
03min 31sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),4,1,1,1,1,off,off,off,1,1,1
03min 38sec,2513964 (11.427ms),19269 (1%),15827 (~0%),234 (5%),42 (~0%),0 (~0%),40,1,4,1,1,off,off,off,1,1,1
03min 26sec,2513964 (11.427ms),19269 (1%),15827 (~0%),234 (5%),42 (~0%),0 (~0%),40,4,1,1,1,off,off,off,1,1,1
03min 39sec,2556524 (11.621ms),19101 (1%),16414 (~0%),238 (5%),43 (~0%),0 (~0%),40,11,1,1,1,off,off,off,1,1,1
03min 47sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),40,1,1,8,1,off,off,off,1,1,1
03min 20sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),10,1,1,1,1,off,off,off,1,1,1
03min 19sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),10,1,1,1,1,off,off,off,1,1,1
03min 32sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),40,8,1,1,1,off,off,off,1,1,1
03min 32sec,2556524 (11.621ms),19101 (1%),16414 (~0%),238 (5%),43 (~0%),0 (~0%),40,11,1,1,1,off,off,off,1,1,1
03min 30sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),40,1,8,1,1,off,off,off,1,1,1
13min 53sec,948924 (3.796ms),129737 (10%),94072 (3%),220 (5%),440 (6%),0 (~0%),1,1,1,22,1,off,off,off,1,1,1
03min 37sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),40,1,1,8,1,off,off,off,1,1,1
05min 32sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),40,1,1,1,11,off,off,off,1,1,1
03min 43sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),1,8,1,1,1,off,off,off,1,1,1
03min 39sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),40,8,1,1,1,off,off,off,1,1,1
03min 44sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),40,1,8,1,1,off,off,off,1,1,1
03min 50sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),40,1,1,8,1,off,off,off,1,1,1
03min 54sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),40,1,1,1,8,off,off,off,1,1,1
60min 00sec,,,,,,,40,1,1,1,1,off,off,flatten,1,1,1
04min 01sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),8,1,1,1,1,off,off,off,1,1,1
04min 03sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),1,8,1,1,1,off,off,off,1,1,1
04min 04sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),1,1,8,1,1,off,off,off,1,1,1
04min 16sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),1,1,1,8,1,off,off,off,1,1,1
04min 16sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),1,1,1,1,8,off,off,off,1,1,1
60min 00sec,,,,,,,40,1,1,1,1,flatten,off,off,1,1,1
04min 01sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),4,1,1,1,1,off,off,off,1,1,1
04min 04sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),40,8,1,1,1,off,off,off,1,1,1
04min 18sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),8,1,1,1,1,off,off,off,1,1,1
04min 25sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),8,1,1,1,1,off,off,off,1,1,1
04min 22sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),10,1,1,1,1,off,off,off,1,1,1
04min 26sec,2513964 (11.427ms),19269 (1%),15827 (~0%),234 (5%),42 (~0%),0 (~0%),40,4,1,1,1,off,off,off,1,1,1
04min 26sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),40,8,1,1,1,off,off,off,1,1,1
04min 25sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),40,1,8,1,1,off,off,off,1,1,1
04min 33sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),40,1,1,8,1,off,off,off,1,1,1
15min 19sec,948924 (3.796ms),129737 (10%),94072 (3%),220 (5%),440 (6%),0 (~0%),40,1,1,1,22,off,off,off,1,1,1
03min 53sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),8,1,1,1,1,off,off,off,1,1,1
06min 14sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),40,1,1,11,1,off,off,off,1,1,1
14min 52sec,948924 (3.796ms),129737 (10%),94072 (3%),220 (5%),440 (6%),0 (~0%),40,1,1,22,1,off,off,off,1,1,1
04min 09sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),40,1,1,8,1,off,off,off,1,1,1
04min 18sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),40,1,1,1,8,off,off,off,1,1,1
06min 08sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),40,1,1,1,11,off,off,off,1,1,1
04min 03sec,1012244 (4.049ms),25609 (2%),25793 (1%),124 (2%),80 (1%),0 (~0%),40,1,1,1,4,off,off,off,1,1,1
04min 04sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),40,1,8,1,1,off,off,off,1,1,1
03min 27sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),8,1,1,1,1,off,off,off,1,1,1
03min 30sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),8,1,1,1,1,off,off,off,1,1,1
03min 32sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),40,1,8,1,1,off,off,off,1,1,1
03min 46sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),40,1,1,8,1,off,off,off,1,1,1
03min 41sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),40,1,1,1,8,off,off,off,1,1,1
03min 31sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),2,1,1,1,1,off,off,off,1,1,1
03min 34sec,2505404 (10.022ms),19197 (1%),16089 (~0%),234 (5%),42 (~0%),0 (~0%),40,2,1,1,1,off,off,off,1,1,1
03min 28sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),8,1,1,1,1,off,off,off,1,1,1
03min 30sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),1,8,1,1,1,off,off,off,1,1,1
03min 30sec,2513964 (11.427ms),19269 (1%),15827 (~0%),234 (5%),42 (~0%),0 (~0%),1,1,4,1,1,off,off,off,1,1,1
05min 38sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),1,1,1,11,1,off,off,off,1,1,1
05min 38sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),40,1,1,11,1,off,off,off,1,1,1
03min 42sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),40,1,1,1,8,off,off,off,1,1,1
05min 03sec,4000241 (16.001ms),296921 (25%),261674 (11%),1262 (29%),1789 (26%),0 (~0%),40,1,1,1,1,off,off,flatten,1,2,1
03min 44sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),8,1,1,1,1,off,off,off,1,1,1
03min 45sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),40,1,8,1,1,off,off,off,1,1,1
03min 43sec,2556524 (11.621ms),19101 (1%),16414 (~0%),238 (5%),43 (~0%),0 (~0%),40,1,11,1,1,off,off,off,1,1,1
03min 54sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),40,1,1,8,1,off,off,off,1,1,1
05min 47sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),40,1,1,11,1,off,off,off,1,1,1
03min 43sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),8,1,1,1,1,off,off,off,1,1,1
03min 44sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),1,1,8,1,1,off,off,off,1,1,1
03min 57sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),1,1,1,8,1,off,off,off,1,1,1
14min 02sec,948924 (3.796ms),129737 (10%),94072 (3%),220 (5%),440 (6%),0 (~0%),40,1,1,22,1,off,off,off,1,1,1
03min 42sec,1012244 (4.049ms),25609 (2%),25793 (1%),124 (2%),80 (1%),0 (~0%),40,1,1,1,4,off,off,off,1,1,1
03min 24sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),8,1,1,1,1,off,off,off,1,1,1
03min 24sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),10,1,1,1,1,off,off,off,1,1,1
03min 28sec,2513964 (11.427ms),19269 (1%),15827 (~0%),234 (5%),42 (~0%),0 (~0%),1,4,1,1,1,off,off,off,1,1,1
03min 28sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),1,8,1,1,1,off,off,off,1,1,1
03min 28sec,2513964 (11.427ms),19269 (1%),15827 (~0%),234 (5%),42 (~0%),0 (~0%),40,4,1,1,1,off,off,off,1,1,1
03min 22sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),40,8,1,1,1,off,off,off,1,1,1
03min 28sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),1,1,8,1,1,off,off,off,1,1,1
03min 27sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),40,1,8,1,1,off,off,off,1,1,1
03min 26sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),8,1,1,1,1,off,off,off,1,1,1
03min 26sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),10,1,1,1,1,off,off,off,1,1,1
03min 28sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),40,8,1,1,1,off,off,off,1,1,1
03min 28sec,2556524 (11.621ms),19101 (1%),16414 (~0%),238 (5%),43 (~0%),0 (~0%),40,1,11,1,1,off,off,off,1,1,1
14min 20sec,948924 (3.796ms),129737 (10%),94072 (3%),220 (5%),440 (6%),0 (~0%),40,1,1,22,1,off,off,off,1,1,1
03min 40sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),40,1,1,1,8,off,off,off,1,1,1
60min 00sec,,,,,,,40,1,1,1,1,off,off,flatten,1,88,1
05min 37sec,4244201 (16.977ms),208293 (17%),188423 (7%),1108 (25%),1255 (18%),0 (~0%),40,1,1,1,1,off,off,flatten,1,1,8
03min 31sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),8,1,1,1,1,off,off,off,1,1,1
03min 45sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),1,1,1,8,1,off,off,off,1,1,1
05min 40sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),1,1,1,11,1,off,off,off,1,1,1
03min 36sec,1012244 (4.049ms),25609 (2%),25793 (1%),124 (2%),80 (1%),0 (~0%),1,1,1,1,4,off,off,off,1,1,1
05min 40sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),1,1,1,1,11,off,off,off,1,1,1
60min 00sec,,,,,,,40,1,1,1,1,off,off,flatten,1,1,88
03min 39sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),1,8,1,1,1,off,off,off,1,1,1
03min 42sec,2513964 (11.427ms),19269 (1%),15827 (~0%),234 (5%),42 (~0%),0 (~0%),40,4,1,1,1,off,off,off,1,1,1
03min 47sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),40,8,1,1,1,off,off,off,1,1,1
