compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PIPE__L0,__PIPE__L1,__TILE__L0,__TILE__L1
08min 26sec,28767 (0.115ms),196867 (16%),159990 (6%),46 (1%),657 (9%),0 (~0%),1,1,2,off,flatten,1,1
04min 47sec,561752 (2.247ms),9874 (~0%),8511 (~0%),78 (1%),14 (~0%),2 (~0%),1,5,4,off,off,1,1
08min 05sec,28767 (0.115ms),196922 (16%),159920 (6%),46 (1%),657 (9%),0 (~0%),4,1,1,off,flatten,1,1
08min 17sec,11082 (0.044ms),405858 (34%),429127 (18%),46 (1%),3285 (48%),0 (~0%),2,5,1,off,flatten,1,1
08min 50sec,7718 (0.031ms),236980 (20%),164297 (6%),46 (1%),657 (9%),0 (~0%),2,1,4,off,flatten,1,1
08min 04sec,28767 (0.115ms),196867 (16%),159990 (6%),46 (1%),657 (9%),0 (~0%),1,1,4,off,flatten,1,1
08min 59sec,26069 (0.104ms),366290 (30%),377503 (15%),46 (1%),2628 (38%),0 (~0%),1,4,1,off,flatten,1,1
08min 24sec,29669 (0.119ms),257935 (21%),235779 (9%),46 (1%),1314 (19%),0 (~0%),1,2,1,off,flatten,1,1
07min 31sec,9520 (0.038ms),183651 (15%),157550 (6%),60 (1%),657 (9%),0 (~0%),5,1,1,off,flatten,1,1
07min 30sec,9520 (0.038ms),183889 (15%),157562 (6%),60 (1%),657 (9%),0 (~0%),3,1,1,off,flatten,1,1
09min 41sec,4718 (0.019ms),406432 (34%),381793 (16%),46 (1%),2628 (38%),0 (~0%),2,4,1,off,flatten,1,1
08min 32sec,7718 (0.031ms),236980 (20%),164297 (6%),46 (1%),657 (9%),0 (~0%),2,1,2,off,flatten,1,1
09min 02sec,7718 (0.031ms),298038 (25%),240072 (10%),46 (1%),1314 (19%),0 (~0%),2,2,1,off,flatten,1,1
08min 41sec,7718 (0.031ms),236980 (20%),164297 (6%),46 (1%),657 (9%),0 (~0%),2,1,2,off,flatten,1,1
08min 51sec,7717 (0.031ms),203707 (17%),155935 (6%),38 (~0%),657 (9%),0 (~0%),10,1,1,off,flatten,1,1
09min 06sec,7718 (0.031ms),298038 (25%),240072 (10%),46 (1%),1314 (19%),0 (~0%),2,2,4,off,flatten,1,1
08min 36sec,7718 (0.031ms),236980 (20%),164297 (6%),46 (1%),657 (9%),0 (~0%),2,1,5,off,flatten,1,1
11min 37sec,3518 (0.014ms),605198 (51%),668595 (28%),46 (1%),5256 (76%),0 (~0%),2,8,1,off,flatten,1,1
09min 26sec,4718 (0.019ms),406432 (34%),381793 (16%),46 (1%),2628 (38%),0 (~0%),2,4,4,off,flatten,1,1
04min 00sec,1548148 (6.193ms),8623 (~0%),6381 (~0%),94 (2%),11 (~0%),0 (~0%),2,8,1,off,off,1,1
03min 57sec,1548749 (6.195ms),13524 (1%),7559 (~0%),94 (2%),11 (~0%),0 (~0%),2,4,1,off,off,1,1
09min 22sec,4718 (0.019ms),406432 (34%),381793 (16%),46 (1%),2628 (38%),0 (~0%),2,4,3,off,flatten,1,1
09min 25sec,4718 (0.019ms),406432 (34%),381793 (16%),46 (1%),2628 (38%),0 (~0%),2,4,2,off,flatten,1,1
08min 35sec,5320 (0.021ms),565309 (47%),688772 (29%),60 (1%),5256 (76%),0 (~0%),3,8,1,off,flatten,1,1
11min 55sec,47626 (0.191ms),737673 (62%),842907 (35%),38 (~0%),6570 (96%),0 (~0%),2,10,1,off,flatten,2,1
07min 51sec,24567 (0.098ms),565103 (47%),664229 (28%),46 (1%),5256 (76%),0 (~0%),4,8,1,off,flatten,1,1
60min 00sec,,,,,,,2,8,1,flatten,flatten,1,1
09min 56sec,3518 (0.014ms),605198 (51%),668595 (28%),46 (1%),5256 (76%),0 (~0%),2,8,3,off,flatten,1,1
08min 26sec,5320 (0.021ms),565071 (47%),688794 (29%),60 (1%),5256 (76%),0 (~0%),5,8,1,off,flatten,1,1
20min 37sec,3218 (0.013ms),1157170 (97%),1307652 (55%),46 (1%),10512 (153%),0 (~0%),2,16,1,off,flatten,1,1
07min 35sec,24567 (0.098ms),565048 (47%),664301 (28%),46 (1%),5256 (76%),0 (~0%),1,8,1,off,flatten,1,1
10min 40sec,3518 (0.014ms),605198 (51%),668595 (28%),46 (1%),5256 (76%),0 (~0%),2,8,4,off,flatten,1,1
14min 42sec,47641 (0.191ms),738135 (62%),843075 (35%),38 (~0%),6570 (96%),0 (~0%),2,10,1,off,flatten,2,2
46min 49sec,10786 (0.043ms),1311052 (110%),1400203 (59%),46 (1%),10512 (153%),0 (~0%),2,16,1,off,flatten,4,1
60min 00sec,,,,,,,2,8,1,flatten,flatten,8,1
60min 00sec,,,,,,,2,8,1,flatten,flatten,1,8
14min 52sec,47641 (0.191ms),738137 (62%),843075 (35%),38 (~0%),6570 (96%),0 (~0%),2,10,1,off,flatten,2,4
60min 00sec,,,,,,,2,8,1,flatten,flatten,1,4
60min 00sec,,,,,,,2,8,1,flatten,flatten,1,2
29min 07sec,3758 (0.015ms),1411767 (119%),1626530 (68%),32 (~0%),13140 (192%),0 (~0%),2,20,1,off,flatten,1,1
60min 00sec,,,,,,,2,8,1,flatten,flatten,4,1
24min 45sec,26880 (0.108ms),830742 (70%),886364 (37%),24 (~0%),6570 (96%),0 (~0%),2,10,1,off,flatten,4,1
11min 55sec,47626 (0.191ms),737673 (62%),842907 (35%),38 (~0%),6570 (96%),0 (~0%),2,10,1,off,flatten,2,8
09min 35sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,1,off,flatten,1,1
10min 15sec,3518 (0.014ms),605198 (51%),668595 (28%),46 (1%),5256 (76%),0 (~0%),2,8,2,off,flatten,1,1
60min 00sec,,,,,,,2,80,1,off,flatten,1,1
07min 53sec,24567 (0.098ms),565556 (47%),664388 (28%),46 (1%),5256 (76%),0 (~0%),12,8,1,off,flatten,1,1
25min 09sec,45658 (0.183ms),770580 (65%),854473 (36%),24 (~0%),6570 (96%),0 (~0%),2,10,1,off,flatten,4,4
11min 04sec,3518 (0.014ms),605198 (51%),668595 (28%),46 (1%),5256 (76%),0 (~0%),2,8,6,off,flatten,1,1
03min 44sec,1552947 (6.212ms),7461 (~0%),5811 (~0%),70 (1%),11 (~0%),2 (~0%),6,8,1,off,off,1,1
11min 07sec,3518 (0.014ms),605198 (51%),668595 (28%),46 (1%),5256 (76%),0 (~0%),2,8,10,off,flatten,1,1
11min 28sec,3518 (0.014ms),605198 (51%),668595 (28%),46 (1%),5256 (76%),0 (~0%),2,8,5,off,flatten,1,1
08min 37sec,5320 (0.021ms),565092 (47%),688789 (29%),60 (1%),5256 (76%),0 (~0%),15,8,1,off,flatten,1,1
41min 45sec,7101 (0.028ms),1321875 (111%),1448723 (61%),46 (1%),10512 (153%),0 (~0%),2,16,1,off,flatten,8,1
60min 00sec,,,,,,,2,8,1,flatten,flatten,8,4
10min 17sec,698356 (2.793ms),737668 (62%),827000 (34%),24 (~0%),6570 (96%),0 (~0%),2,10,1,off,flatten,1,2
09min 33sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,1,off,flatten,1,1
09min 29sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,2,off,flatten,1,1
10min 14sec,352756 (1.411ms),737665 (62%),827602 (35%),24 (~0%),6570 (96%),0 (~0%),2,10,1,off,flatten,1,4
10min 11sec,3518 (0.014ms),605198 (51%),668595 (28%),46 (1%),5256 (76%),0 (~0%),2,8,20,off,flatten,1,1
09min 24sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,4,off,flatten,1,1
09min 31sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,3,off,flatten,1,1
07min 56sec,7719 (0.031ms),264997 (22%),231716 (9%),38 (~0%),1314 (19%),0 (~0%),6,2,1,off,flatten,1,1
09min 53sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,2,off,flatten,1,1
60min 00sec,,,,,,,2,8,1,flatten,flatten,2,8
03min 45sec,1552947 (6.212ms),7451 (~0%),5807 (~0%),70 (1%),11 (~0%),2 (~0%),30,8,1,off,off,1,1
12min 06sec,47626 (0.191ms),737673 (62%),842907 (35%),38 (~0%),6570 (96%),0 (~0%),2,10,1,off,flatten,2,80
09min 21sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,5,off,flatten,1,1
12min 45sec,5797 (0.023ms),741279 (62%),827265 (34%),24 (~0%),6570 (96%),0 (~0%),2,10,1,off,flatten,60,1
60min 00sec,,,,,,,2,8,1,flatten,flatten,1,80
21min 12sec,76077 (0.304ms),787094 (66%),890593 (37%),24 (~0%),6570 (96%),0 (~0%),2,10,1,off,flatten,8,4
08min 24sec,4718 (0.019ms),373392 (31%),373437 (15%),38 (~0%),2628 (38%),0 (~0%),6,4,1,off,flatten,1,1
06min 54sec,11082 (0.044ms),372816 (31%),420765 (17%),38 (~0%),3285 (48%),0 (~0%),6,5,1,off,flatten,1,1
07min 41sec,24567 (0.098ms),565440 (47%),664381 (28%),46 (1%),5256 (76%),0 (~0%),20,8,1,off,flatten,1,1
20min 48sec,3218 (0.013ms),1157170 (97%),1307652 (55%),46 (1%),10512 (153%),0 (~0%),2,16,1,off,flatten,60,1
50min 17sec,60278 (0.241ms),1294424 (109%),1395131 (59%),46 (1%),10512 (153%),0 (~0%),2,16,1,off,flatten,4,2
10min 07sec,352756 (1.411ms),737665 (62%),827602 (35%),24 (~0%),6570 (96%),0 (~0%),2,10,1,off,flatten,60,4
50min 11sec,57174 (0.229ms),1294229 (109%),1396016 (59%),46 (1%),10512 (153%),0 (~0%),2,16,1,off,flatten,4,4
09min 35sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,12,off,flatten,1,1
11min 51sec,5797 (0.023ms),708236 (59%),818903 (34%),16 (~0%),6570 (96%),0 (~0%),6,10,1,off,flatten,1,1
09min 24sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,4,off,flatten,1,1
09min 24sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,1,off,flatten,1,1
09min 34sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,1,off,flatten,1,1
09min 24sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,3,off,flatten,1,1
07min 40sec,24567 (0.098ms),565048 (47%),664301 (28%),46 (1%),5256 (76%),0 (~0%),60,8,1,off,flatten,1,1
08min 17sec,7717 (0.031ms),203933 (17%),155940 (6%),38 (~0%),657 (9%),0 (~0%),6,1,1,off,flatten,1,1
60min 00sec,,,,,,,6,8,1,flatten,flatten,1,1
09min 25sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,6,off,flatten,1,1
09min 24sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,10,off,flatten,1,1
27min 26sec,3757 (0.015ms),1378725 (116%),1618168 (68%),24 (~0%),13140 (192%),0 (~0%),6,20,1,off,flatten,1,1
09min 07sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,10,off,flatten,1,1
60min 00sec,,,,,,,2,8,1,flatten,flatten,8,80
09min 12sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,6,off,flatten,1,1
09min 02sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,5,off,flatten,1,1
60min 00sec,,,,,,,6,80,1,off,flatten,1,1
07min 42sec,7719 (0.031ms),264829 (22%),231720 (9%),38 (~0%),1314 (19%),0 (~0%),30,2,1,off,flatten,1,1
60min 00sec,,,,,,,2,8,1,flatten,flatten,4,8
08min 35sec,4718 (0.019ms),373179 (31%),373442 (15%),38 (~0%),2628 (38%),0 (~0%),30,4,1,off,flatten,1,1
60min 00sec,,,,,,,2,8,1,flatten,flatten,8,8
09min 32sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,12,off,flatten,1,1
60min 00sec,,,,,,,2,8,1,flatten,flatten,2,1
09min 25sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,15,off,flatten,1,1
60min 00sec,,,,,,,2,8,1,flatten,flatten,2,4
60min 00sec,,,,,,,2,8,1,flatten,flatten,8,2
60min 00sec,,,,,,,2,8,1,flatten,flatten,4,4
09min 31sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,15,off,flatten,1,1
09min 32sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,60,off,flatten,1,1
48min 03sec,10786 (0.043ms),1311052 (110%),1400203 (59%),46 (1%),10512 (153%),0 (~0%),2,16,1,off,flatten,4,80
09min 27sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,30,off,flatten,1,1
09min 23sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,20,off,flatten,1,1
23min 08sec,15993 (0.064ms),838618 (70%),917219 (38%),24 (~0%),6570 (96%),0 (~0%),2,10,1,off,flatten,8,1
60min 00sec,,,,,,,2,8,1,flatten,flatten,60,1
21min 35sec,139051 (0.556ms),1287433 (108%),1410581 (59%),46 (1%),10512 (153%),0 (~0%),2,16,1,off,flatten,1,4
60min 00sec,,,,,,,2,8,1,flatten,flatten,60,4
60min 00sec,,,,,,,2,8,1,flatten,flatten,60,8
20min 52sec,3218 (0.013ms),1157170 (97%),1307652 (55%),46 (1%),10512 (153%),0 (~0%),2,16,1,off,flatten,1,8
09min 10sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,30,off,flatten,1,1
21min 32sec,3218 (0.013ms),1157170 (97%),1307652 (55%),46 (1%),10512 (153%),0 (~0%),2,16,1,off,flatten,1,80
09min 20sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,60,off,flatten,1,1
20min 12sec,3217 (0.013ms),1124128 (95%),1299290 (54%),38 (~0%),10512 (153%),0 (~0%),6,16,1,off,flatten,1,1
11min 29sec,5797 (0.023ms),708069 (59%),818907 (34%),16 (~0%),6570 (96%),0 (~0%),30,10,1,off,flatten,1,1
07min 58sec,7717 (0.031ms),203766 (17%),155944 (6%),38 (~0%),657 (9%),0 (~0%),30,1,1,off,flatten,1,1
06min 28sec,11082 (0.044ms),372648 (31%),420769 (17%),38 (~0%),3285 (48%),0 (~0%),30,5,1,off,flatten,1,1
19min 20sec,3217 (0.013ms),1123961 (95%),1299294 (54%),38 (~0%),10512 (153%),0 (~0%),30,16,1,off,flatten,1,1
08min 59sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,20,off,flatten,1,1
12min 35sec,5797 (0.023ms),741279 (62%),827265 (34%),24 (~0%),6570 (96%),0 (~0%),2,10,1,off,flatten,1,8
12min 28sec,5797 (0.023ms),741279 (62%),827265 (34%),24 (~0%),6570 (96%),0 (~0%),2,10,1,off,flatten,1,80
27min 13sec,3757 (0.015ms),1378558 (116%),1618172 (68%),24 (~0%),13140 (192%),0 (~0%),30,20,1,off,flatten,1,1
20min 05sec,18646 (0.075ms),1153562 (97%),1323291 (55%),60 (1%),10512 (153%),0 (~0%),2,16,1,off,flatten,2,1
21min 19sec,205710 (0.823ms),1287571 (108%),1424726 (60%),46 (1%),10512 (153%),0 (~0%),2,16,1,off,flatten,1,2
24min 06sec,65994 (0.264ms),770578 (65%),854436 (36%),24 (~0%),6570 (96%),0 (~0%),2,10,1,off,flatten,4,2
21min 27sec,138237 (0.553ms),787092 (66%),890477 (37%),24 (~0%),6570 (96%),0 (~0%),2,10,1,off,flatten,8,2
09min 44sec,698356 (2.793ms),737668 (62%),827000 (34%),24 (~0%),6570 (96%),0 (~0%),2,10,1,off,flatten,60,2
03min 33sec,1547247 (6.189ms),7533 (~0%),6202 (~0%),94 (2%),11 (~0%),0 (~0%),1,1,1,off,off,1,1
04min 56sec,1555348 (6.221ms),6825 (~0%),4707 (~0%),40 (~0%),11 (~0%),2 (~0%),1,10,1,off,off,1,1
04min 56sec,1547247 (6.189ms),8004 (~0%),6288 (~0%),94 (2%),11 (~0%),0 (~0%),1,16,1,off,off,1,1
04min 46sec,1552948 (6.212ms),7154 (~0%),5245 (~0%),48 (1%),11 (~0%),4 (~0%),1,20,1,off,off,1,1
05min 51sec,313647 (1.34ms),53628 (4%),33237 (1%),46 (1%),56 (~0%),0 (~0%),1,1,20,off,off,1,1
08min 23sec,28767 (0.115ms),196867 (16%),159990 (6%),46 (1%),657 (9%),0 (~0%),1,1,1,off,flatten,1,1
07min 27sec,28767 (0.115ms),196867 (16%),159990 (6%),46 (1%),657 (9%),0 (~0%),1,1,12,off,flatten,1,1
04min 00sec,486447 (2.079ms),15138 (1%),8718 (~0%),150 (3%),14 (~0%),0 (~0%),1,1,5,off,off,1,1
07min 56sec,24567 (0.098ms),565048 (47%),664301 (28%),46 (1%),5256 (76%),0 (~0%),1,8,1,off,flatten,1,1
04min 47sec,318447 (1.361ms),53992 (4%),33267 (1%),46 (1%),56 (~0%),0 (~0%),12,1,20,off,off,1,1
04min 17sec,321156 (1.372ms),46637 (3%),29600 (1%),100 (2%),56 (~0%),0 (~0%),15,1,20,off,off,1,1
14min 17sec,24267 (0.097ms),1117025 (94%),1303360 (55%),46 (1%),10512 (153%),0 (~0%),1,16,1,off,flatten,1,1
60min 00sec,,,,,,,1,1,1,flatten,off,1,80
07min 48sec,28767 (0.115ms),196867 (16%),159990 (6%),46 (1%),657 (9%),0 (~0%),1,1,60,off,flatten,1,1
06min 39sec,33032 (0.132ms),365705 (30%),424832 (17%),46 (1%),3285 (48%),0 (~0%),1,5,1,off,flatten,1,1
60min 00sec,,,,,,,1,1,1,flatten,off,1,2
09min 30sec,27747 (0.111ms),701130 (59%),822972 (34%),24 (~0%),6570 (96%),0 (~0%),1,10,1,off,flatten,1,1
08min 15sec,24567 (0.098ms),565103 (47%),664229 (28%),46 (1%),5256 (76%),0 (~0%),4,8,1,off,flatten,1,1
60min 00sec,,,,,,,1,1,1,flatten,off,1,4
07min 39sec,28767 (0.115ms),196867 (16%),159990 (6%),46 (1%),657 (9%),0 (~0%),1,1,15,off,flatten,1,1
60min 00sec,,,,,,,1,1,1,flatten,off,4,80
08min 54sec,24567 (0.098ms),565103 (47%),664229 (28%),46 (1%),5256 (76%),0 (~0%),4,8,2,off,flatten,1,1
60min 00sec,,,,,,,1,1,1,flatten,off,2,80
09min 20sec,5320 (0.021ms),565309 (47%),688772 (29%),60 (1%),5256 (76%),0 (~0%),3,8,1,off,flatten,1,1
04min 16sec,1547247 (6.189ms),7486 (~0%),6107 (~0%),94 (2%),11 (~0%),0 (~0%),4,8,1,off,off,1,1
08min 53sec,24567 (0.098ms),565048 (47%),664301 (28%),46 (1%),5256 (76%),0 (~0%),1,8,10,off,flatten,1,1
21min 08sec,25107 (0.1ms),1371678 (116%),1622167 (68%),32 (~0%),13140 (192%),0 (~0%),4,20,1,off,flatten,1,1
60min 00sec,,,,,,,1,1,1,flatten,off,60,4
23min 43sec,203909 (0.816ms),1265013 (107%),1408757 (59%),46 (1%),10512 (153%),0 (~0%),1,16,1,off,flatten,1,2
23min 35sec,137249 (0.549ms),1264889 (106%),1409696 (59%),46 (1%),10512 (153%),0 (~0%),1,16,1,off,flatten,1,4
18min 37sec,5020 (0.02ms),1132385 (95%),1358549 (57%),60 (1%),10512 (153%),0 (~0%),3,16,1,off,flatten,1,1
10min 07sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,1,off,flatten,1,1
09min 37sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,1,off,flatten,1,1
11min 43sec,5797 (0.023ms),708236 (59%),818903 (34%),16 (~0%),6570 (96%),0 (~0%),6,10,1,off,flatten,1,1
09min 26sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,15,off,flatten,1,1
19min 52sec,3217 (0.013ms),1124128 (95%),1299290 (54%),38 (~0%),10512 (153%),0 (~0%),6,16,1,off,flatten,1,1
03min 52sec,1557747 (6.231ms),7504 (~0%),5821 (~0%),70 (1%),11 (~0%),2 (~0%),10,8,1,off,off,1,1
08min 51sec,5320 (0.021ms),565071 (47%),688794 (29%),60 (1%),5256 (76%),0 (~0%),5,8,1,off,flatten,1,1
08min 41sec,4718 (0.019ms),373166 (31%),373438 (15%),38 (~0%),2628 (38%),0 (~0%),10,4,1,off,flatten,1,1
24min 07sec,3217 (0.013ms),1123902 (95%),1299291 (54%),38 (~0%),10512 (153%),0 (~0%),10,16,1,off,flatten,1,1
21min 43sec,203909 (0.816ms),1265013 (107%),1408757 (59%),46 (1%),10512 (153%),0 (~0%),1,16,1,off,flatten,1,2
09min 41sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,1,off,flatten,1,1
17min 22sec,44429 (0.178ms),791725 (66%),882056 (37%),24 (~0%),6570 (96%),0 (~0%),1,10,1,off,flatten,8,1
09min 41sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,15,off,flatten,1,1
14min 27sec,35356 (0.141ms),1117144 (94%),1318456 (55%),46 (1%),10512 (153%),0 (~0%),1,16,1,off,flatten,4,1
09min 51sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,30,off,flatten,1,1
12min 14sec,5797 (0.023ms),708011 (59%),818904 (34%),16 (~0%),6570 (96%),0 (~0%),10,10,1,off,flatten,1,1
09min 45sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,12,off,flatten,1,1
07min 26sec,11082 (0.044ms),372816 (31%),420765 (17%),38 (~0%),3285 (48%),0 (~0%),6,5,1,off,flatten,1,1
19min 52sec,36315 (0.145ms),1170654 (99%),1372333 (58%),46 (1%),10512 (153%),0 (~0%),1,16,1,off,flatten,2,1
09min 42sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,1,off,flatten,1,1
21min 17sec,137249 (0.549ms),1264889 (106%),1409696 (59%),46 (1%),10512 (153%),0 (~0%),1,16,1,off,flatten,1,4
03min 17sec,1547247 (6.189ms),7533 (~0%),6202 (~0%),94 (2%),11 (~0%),0 (~0%),1,1,1,off,off,1,1
04min 50sec,1554761 (6.219ms),8517 (~0%),7916 (~0%),92 (2%),11 (~0%),1 (~0%),5,1,1,off,off,1,1
05min 10sec,1557747 (6.231ms),7549 (~0%),5870 (~0%),70 (1%),11 (~0%),2 (~0%),10,1,1,off,off,1,1
05min 10sec,1548149 (6.193ms),12381 (1%),7331 (~0%),94 (2%),11 (~0%),0 (~0%),1,4,1,off,off,1,1
04min 49sec,1564953 (6.26ms),7587 (~0%),6904 (~0%),94 (2%),11 (~0%),0 (~0%),1,5,1,off,off,1,1
05min 26sec,366447 (1.566ms),23220 (1%),12833 (~0%),254 (5%),28 (~0%),0 (~0%),1,1,10,off,off,1,1
05min 50sec,313647 (1.34ms),53628 (4%),33237 (1%),46 (1%),56 (~0%),0 (~0%),1,1,20,off,off,1,1
08min 45sec,28767 (0.115ms),196867 (16%),159990 (6%),46 (1%),657 (9%),0 (~0%),1,1,1,off,flatten,1,1
07min 33sec,9520 (0.038ms),183671 (15%),157574 (6%),60 (1%),657 (9%),0 (~0%),15,1,1,off,flatten,1,1
08min 01sec,28767 (0.115ms),197259 (16%),160070 (6%),46 (1%),657 (9%),0 (~0%),20,1,1,off,flatten,1,1
05min 14sec,324147 (1.385ms),47919 (4%),27788 (1%),118 (2%),56 (~0%),0 (~0%),10,1,20,off,off,1,1
04min 51sec,321156 (1.372ms),46637 (3%),29600 (1%),100 (2%),56 (~0%),0 (~0%),15,1,20,off,off,1,1
05min 13sec,313647 (1.34ms),57276 (4%),34936 (1%),46 (1%),56 (~0%),0 (~0%),20,1,20,off,off,1,1
04min 52sec,321748 (1.375ms),37617 (3%),22992 (~0%),88 (2%),56 (~0%),0 (~0%),1,10,20,off,off,1,1
05min 20sec,313647 (1.34ms),53814 (4%),33314 (1%),46 (1%),56 (~0%),0 (~0%),1,16,20,off,off,1,1
07min 35sec,9520 (0.038ms),183671 (15%),157574 (6%),60 (1%),657 (9%),0 (~0%),15,1,1,off,flatten,1,1
11min 47sec,7000 (0.028ms),704949 (59%),855139 (36%),38 (~0%),6570 (96%),0 (~0%),15,10,1,off,flatten,1,1
30min 53sec,5560 (0.022ms),1394317 (117%),1692804 (71%),46 (1%),13140 (192%),0 (~0%),15,20,1,off,flatten,1,1
19min 07sec,5020 (0.02ms),1132168 (95%),1358566 (57%),60 (1%),10512 (153%),0 (~0%),15,16,1,off,flatten,1,1
07min 31sec,9520 (0.038ms),183671 (15%),157574 (6%),60 (1%),657 (9%),0 (~0%),15,1,10,off,flatten,1,1
07min 29sec,9520 (0.038ms),183671 (15%),157574 (6%),60 (1%),657 (9%),0 (~0%),15,1,15,off,flatten,1,1
08min 09sec,7717 (0.031ms),203707 (17%),155935 (6%),38 (~0%),657 (9%),0 (~0%),10,1,15,off,flatten,1,1
09min 22sec,7717 (0.031ms),203707 (17%),155935 (6%),38 (~0%),657 (9%),0 (~0%),10,1,20,off,flatten,1,1
07min 11sec,28767 (0.115ms),197259 (16%),160070 (6%),46 (1%),657 (9%),0 (~0%),20,1,15,off,flatten,1,1
07min 11sec,28767 (0.115ms),197375 (16%),160077 (6%),46 (1%),657 (9%),0 (~0%),12,1,15,off,flatten,1,1
07min 15sec,7717 (0.031ms),203933 (17%),155940 (6%),38 (~0%),657 (9%),0 (~0%),6,1,15,off,flatten,1,1
08min 14sec,4718 (0.019ms),373166 (31%),373438 (15%),38 (~0%),2628 (38%),0 (~0%),10,4,15,off,flatten,1,1
09min 11sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,15,off,flatten,1,1
11min 24sec,5797 (0.023ms),708011 (59%),818904 (34%),16 (~0%),6570 (96%),0 (~0%),10,10,15,off,flatten,1,1
07min 59sec,7717 (0.031ms),203707 (17%),155935 (6%),38 (~0%),657 (9%),0 (~0%),10,1,30,off,flatten,1,1
07min 15sec,7717 (0.031ms),203707 (17%),155935 (6%),38 (~0%),657 (9%),0 (~0%),10,1,60,off,flatten,1,1
08min 15sec,24567 (0.098ms),565440 (47%),664381 (28%),46 (1%),5256 (76%),0 (~0%),20,8,15,off,flatten,1,1
08min 51sec,4718 (0.019ms),373179 (31%),373442 (15%),38 (~0%),2628 (38%),0 (~0%),30,4,15,off,flatten,1,1
24min 14sec,3217 (0.013ms),1123902 (95%),1299291 (54%),38 (~0%),10512 (153%),0 (~0%),10,16,15,off,flatten,1,1
12min 12sec,5797 (0.023ms),708011 (59%),818904 (34%),16 (~0%),6570 (96%),0 (~0%),10,10,15,off,flatten,8,1
