compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PIPE__L0,__TILE__L0
04min 20sec,342055 (1.462ms),19345 (1%),19405 (~0%),460 (10%),30 (~0%),0 (~0%),1,10,2,off,1
60min 00sec,,,,,,,6,1,1,flatten,4
05min 10sec,342835 (1.465ms),19539 (1%),19429 (~0%),460 (10%),32 (~0%),0 (~0%),2,10,2,off,1
15min 46sec,293089 (1.253ms),372116 (31%),815174 (34%),1738 (40%),1804 (26%),0 (~0%),1,5,1,flatten,4
10min 12sec,505266 (2.159ms),237539 (20%),488960 (20%),1738 (40%),1804 (26%),0 (~0%),1,1,1,flatten,2
15min 50sec,293089 (1.253ms),372116 (31%),815174 (34%),1738 (40%),1804 (26%),0 (~0%),1,2,1,flatten,4
06min 16sec,1344878 (6.004ms),29982 (2%),61639 (2%),234 (5%),16 (~0%),0 (~0%),1,1,1,off,4
60min 00sec,,,,,,,13,1,1,flatten,4
60min 00sec,,,,,,,6,1,1,flatten,2
15min 35sec,293089 (1.253ms),372116 (31%),815174 (34%),1738 (40%),1804 (26%),0 (~0%),1,2,1,flatten,4
04min 18sec,872708 (3.746ms),31709 (2%),89740 (3%),324 (7%),19 (~0%),0 (~0%),1,5,1,off,4
15min 38sec,293089 (1.253ms),372116 (31%),815174 (34%),1738 (40%),1804 (26%),0 (~0%),1,1,5,flatten,4
15min 40sec,293089 (1.253ms),372116 (31%),815174 (34%),1738 (40%),1804 (26%),0 (~0%),1,1,10,flatten,4
60min 00sec,,,,,,,5,1,1,flatten,4
60min 00sec,,,,,,,15,5,1,flatten,4
15min 34sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,5,1,flatten,8
60min 00sec,,,,,,,6,5,1,flatten,4
60min 00sec,,,,,,,10,5,1,flatten,4
14min 58sec,293089 (1.253ms),372116 (31%),815174 (34%),1738 (40%),1804 (26%),0 (~0%),1,1,1,flatten,4
15min 39sec,293089 (1.253ms),372116 (31%),815174 (34%),1738 (40%),1804 (26%),0 (~0%),1,10,1,flatten,4
15min 37sec,293089 (1.253ms),372116 (31%),815174 (34%),1738 (40%),1804 (26%),0 (~0%),1,5,10,flatten,4
15min 41sec,293089 (1.253ms),372116 (31%),815174 (34%),1738 (40%),1804 (26%),0 (~0%),1,5,1,flatten,4
15min 56sec,293089 (1.253ms),372116 (31%),815174 (34%),1738 (40%),1804 (26%),0 (~0%),1,2,1,flatten,4
16min 21sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,10,1,flatten,8
16min 55sec,293089 (1.253ms),372116 (31%),815174 (34%),1738 (40%),1804 (26%),0 (~0%),1,1,2,flatten,4
38min 58sec,96546 (0.413ms),778372 (65%),1533723 (64%),4996 (115%),5412 (79%),0 (~0%),3,1,1,flatten,4
16min 14sec,293089 (1.253ms),372116 (31%),815174 (34%),1738 (40%),1804 (26%),0 (~0%),1,10,1,flatten,4
60min 00sec,,,,,,,6,5,1,flatten,2
60min 00sec,,,,,,,6,5,1,flatten,8
46min 53sec,88117 (0.377ms),857517 (72%),1609447 (68%),2536 (58%),5412 (79%),0 (~0%),3,5,1,flatten,8
16min 21sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,410,1,flatten,8
16min 26sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,2,1,flatten,8
16min 24sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,5,2,flatten,8
16min 24sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,10,2,flatten,8
60min 00sec,,,,,,,5,5,1,flatten,8
15min 51sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,5,10,flatten,8
15min 56sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,2,1,flatten,8
15min 46sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,5,5,flatten,8
15min 55sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,1,1,flatten,8
60min 00sec,,,,,,,15,5,1,flatten,2
46min 15sec,88117 (0.377ms),857517 (72%),1609447 (68%),2536 (58%),5412 (79%),0 (~0%),3,10,1,flatten,8
04min 46sec,683601 (2.934ms),28277 (2%),65151 (2%),320 (7%),19 (~0%),1 (~0%),1,5,1,off,8
46min 36sec,88117 (0.377ms),857517 (72%),1609447 (68%),2536 (58%),5412 (79%),0 (~0%),3,5,10,flatten,8
16min 01sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,10,1,flatten,8
24min 47sec,92991 (0.397ms),582175 (49%),1186913 (50%),3378 (78%),3608 (52%),0 (~0%),2,5,1,flatten,8
16min 01sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,5,2,flatten,8
03min 42sec,666802 (2.862ms),26969 (2%),22300 (~0%),124 (2%),17 (~0%),6 (~0%),3,5,1,off,8
16min 05sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,5,10,flatten,8
25min 11sec,92991 (0.397ms),582175 (49%),1186913 (50%),3378 (78%),3608 (52%),0 (~0%),2,10,1,flatten,8
46min 56sec,88117 (0.377ms),857517 (72%),1609447 (68%),2536 (58%),5412 (79%),0 (~0%),3,10,2,flatten,8
47min 16sec,88117 (0.377ms),857517 (72%),1609447 (68%),2536 (58%),5412 (79%),0 (~0%),3,1,1,flatten,8
15min 57sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,5,1,flatten,8
46min 53sec,88117 (0.377ms),857517 (72%),1609447 (68%),2536 (58%),5412 (79%),0 (~0%),3,5,410,flatten,8
60min 00sec,,,,,,,6,1,1,flatten,390
60min 00sec,,,,,,,13,10,1,flatten,8
06min 07sec,1132731 (4.531ms),16329 (1%),12221 (~0%),208 (4%),14 (~0%),0 (~0%),10,1,1,off,1
05min 59sec,1133319 (4.533ms),16007 (1%),12171 (~0%),206 (4%),16 (~0%),0 (~0%),13,1,1,off,1
06min 20sec,422005 (1.803ms),19868 (1%),18112 (~0%),460 (10%),30 (~0%),0 (~0%),1,10,1,off,1
06min 07sec,1133121 (4.532ms),16324 (1%),12234 (~0%),208 (4%),14 (~0%),0 (~0%),6,1,1,off,1
06min 12sec,987907 (3.952ms),26915 (2%),32060 (1%),482 (11%),128 (1%),0 (~0%),1,1,10,off,1
06min 06sec,734785 (2.939ms),34951 (2%),19286 (~0%),226 (5%),13 (~0%),0 (~0%),1,2,1,off,1
05min 35sec,1163804 (4.655ms),22917 (1%),25606 (1%),298 (6%),56 (~0%),0 (~0%),1,1,5,off,1
05min 40sec,422785 (1.807ms),20062 (1%),18136 (~0%),460 (10%),32 (~0%),0 (~0%),2,10,1,off,1
05min 18sec,423129 (1.808ms),18335 (1%),15716 (~0%),440 (10%),32 (~0%),0 (~0%),3,10,1,off,1
05min 20sec,422739 (1.807ms),18329 (1%),15703 (~0%),440 (10%),32 (~0%),0 (~0%),5,10,1,off,1
04min 38sec,661252 (2.826ms),16446 (1%),15173 (~0%),268 (6%),18 (~0%),0 (~0%),6,5,1,off,1
04min 33sec,660862 (2.824ms),16451 (1%),15158 (~0%),268 (6%),18 (~0%),0 (~0%),10,5,1,off,1
04min 30sec,661060 (2.825ms),16208 (1%),15095 (~0%),266 (6%),17 (~0%),0 (~0%),13,5,1,off,1
05min 16sec,454020 (1.94ms),24166 (2%),27973 (1%),564 (13%),57 (~0%),0 (~0%),1,10,5,off,1
05min 37sec,278107 (1.188ms),27091 (2%),33810 (1%),716 (16%),128 (1%),0 (~0%),1,10,10,off,1
05min 03sec,174145 (0.744ms),26778 (2%),31370 (1%),58 (1%),130 (1%),40 (4%),26,10,10,off,1
05min 06sec,175472 (0.75ms),26843 (2%),31328 (1%),58 (1%),128 (1%),40 (4%),30,10,10,off,1
07min 11sec,205176 (0.884ms),194354 (16%),361129 (15%),1238 (28%),3762 (55%),0 (~0%),1,410,10,off,1
55min 32sec,260547 (1.113ms),6406558 (541%),1020488 (43%),1216 (28%),4511 (65%),0 (~0%),1,10,410,off,1
05min 28sec,279219 (1.193ms),25561 (2%),31425 (1%),696 (16%),129 (1%),0 (~0%),15,10,10,off,1
05min 20sec,423129 (1.808ms),18333 (1%),15713 (~0%),440 (10%),32 (~0%),0 (~0%),15,10,1,off,1
05min 36sec,342055 (1.462ms),19345 (1%),19405 (~0%),460 (10%),30 (~0%),0 (~0%),1,10,2,off,1
04min 41sec,279021 (1.192ms),25865 (2%),31469 (1%),698 (16%),129 (1%),0 (~0%),10,10,10,off,1
04min 35sec,278829 (1.192ms),25557 (2%),31415 (1%),696 (16%),129 (1%),0 (~0%),5,10,10,off,1
04min 06sec,194641 (0.832ms),18621 (1%),16954 (~0%),186 (4%),32 (~0%),20 (2%),26,10,2,off,1
04min 18sec,345185 (1.475ms),22981 (1%),23620 (~0%),54 (1%),59 (~0%),30 (3%),26,10,5,off,1
08min 40sec,174130 (0.744ms),507150 (42%),671507 (28%),58 (1%),4513 (65%),20 (2%),26,10,410,off,1
57min 32sec,261327 (1.117ms),6406767 (541%),1020529 (43%),1216 (28%),4512 (65%),0 (~0%),2,10,410,off,1
07min 29sec,261278 (1.117ms),407756 (34%),509901 (21%),1196 (27%),4512 (65%),0 (~0%),3,10,410,off,1
07min 25sec,260888 (1.115ms),407750 (34%),509886 (21%),1196 (27%),4512 (65%),0 (~0%),5,10,410,off,1
05min 00sec,279667 (1.249ms),27287 (2%),33843 (1%),716 (16%),129 (1%),0 (~0%),2,10,10,off,1
05min 05sec,279411 (1.194ms),25860 (2%),31482 (1%),698 (16%),129 (1%),0 (~0%),6,10,10,off,1
04min 49sec,279219 (1.193ms),25563 (2%),31428 (1%),696 (16%),129 (1%),0 (~0%),3,10,10,off,1
60min 00sec,,,,,,,26,10,10,flatten,1
07min 00sec,261279 (1.117ms),407746 (34%),509979 (21%),1196 (27%),4514 (65%),0 (~0%),13,10,410,off,1
55min 33sec,261860 (1.119ms),6405300 (541%),1018094 (43%),1198 (27%),4512 (65%),0 (~0%),6,10,410,off,1
04min 13sec,174145 (0.744ms),26778 (2%),31370 (1%),58 (1%),130 (1%),40 (4%),26,10,10,off,1
60min 00sec,,,,,,,26,10,10,flatten,8
07min 08sec,261279 (1.117ms),407746 (34%),509979 (21%),1196 (27%),4514 (65%),0 (~0%),13,10,410,off,1
04min 27sec,345185 (1.475ms),22981 (1%),23620 (~0%),54 (1%),59 (~0%),30 (3%),26,10,5,off,1
60min 00sec,,,,,,,26,10,410,flatten,4
60min 00sec,,,,,,,26,10,410,flatten,8
07min 34sec,261279 (1.117ms),407746 (34%),509979 (21%),1196 (27%),4514 (65%),0 (~0%),13,10,410,off,1
09min 06sec,441542 (1.766ms),524062 (44%),677721 (28%),208 (4%),4513 (65%),0 (~0%),26,2,410,off,1
07min 32sec,260888 (1.115ms),407750 (34%),509886 (21%),1196 (27%),4512 (65%),0 (~0%),5,10,410,off,1
07min 34sec,261278 (1.117ms),407756 (34%),509901 (21%),1196 (27%),4512 (65%),0 (~0%),3,10,410,off,1
07min 51sec,261279 (1.117ms),407746 (34%),509979 (21%),1196 (27%),4514 (65%),0 (~0%),13,10,410,off,1
07min 47sec,260888 (1.115ms),407750 (34%),509886 (21%),1196 (27%),4512 (65%),0 (~0%),5,10,410,off,1
07min 51sec,261278 (1.117ms),407756 (34%),509901 (21%),1196 (27%),4512 (65%),0 (~0%),3,10,410,off,1
07min 19sec,260888 (1.115ms),407750 (34%),509886 (21%),1196 (27%),4512 (65%),0 (~0%),5,10,410,off,1
07min 18sec,261279 (1.117ms),407746 (34%),509979 (21%),1196 (27%),4514 (65%),0 (~0%),13,10,410,off,1
04min 12sec,194641 (0.832ms),18621 (1%),16954 (~0%),186 (4%),32 (~0%),20 (2%),26,10,2,off,1
07min 30sec,261279 (1.117ms),407746 (34%),509979 (21%),1196 (27%),4514 (65%),0 (~0%),13,10,410,off,1
07min 30sec,260888 (1.115ms),407750 (34%),509886 (21%),1196 (27%),4512 (65%),0 (~0%),5,10,410,off,1
08min 50sec,345200 (1.475ms),505318 (42%),639614 (27%),64 (1%),4513 (65%),10 (1%),26,5,410,off,1
07min 12sec,261279 (1.117ms),407746 (34%),509979 (21%),1196 (27%),4514 (65%),0 (~0%),13,10,410,off,1
04min 42sec,345185 (1.475ms),22981 (1%),23620 (~0%),54 (1%),59 (~0%),30 (3%),26,10,5,off,1
60min 00sec,,,,,,,26,10,410,flatten,390
06min 58sec,261279 (1.117ms),407746 (34%),509979 (21%),1196 (27%),4514 (65%),0 (~0%),13,10,410,off,1
07min 06sec,261279 (1.117ms),407746 (34%),509979 (21%),1196 (27%),4514 (65%),0 (~0%),13,10,410,off,1
07min 13sec,260888 (1.115ms),407750 (34%),509886 (21%),1196 (27%),4512 (65%),0 (~0%),5,10,410,off,1
07min 10sec,261278 (1.117ms),407756 (34%),509901 (21%),1196 (27%),4512 (65%),0 (~0%),3,10,410,off,1
07min 04sec,261279 (1.117ms),407746 (34%),509979 (21%),1196 (27%),4514 (65%),0 (~0%),13,10,410,off,1
07min 04sec,260888 (1.115ms),407750 (34%),509886 (21%),1196 (27%),4512 (65%),0 (~0%),5,10,410,off,1
07min 04sec,261278 (1.117ms),407756 (34%),509901 (21%),1196 (27%),4512 (65%),0 (~0%),3,10,410,off,1
08min 24sec,345200 (1.475ms),505318 (42%),639614 (27%),64 (1%),4513 (65%),10 (1%),26,5,410,off,1
08min 41sec,441542 (1.766ms),524062 (44%),677721 (28%),208 (4%),4513 (65%),0 (~0%),26,2,410,off,1
04min 08sec,194641 (0.832ms),18621 (1%),16954 (~0%),186 (4%),32 (~0%),20 (2%),26,10,2,off,1
04min 16sec,345185 (1.475ms),22981 (1%),23620 (~0%),54 (1%),59 (~0%),30 (3%),26,10,5,off,1
07min 47sec,261279 (1.117ms),407746 (34%),509979 (21%),1196 (27%),4514 (65%),0 (~0%),13,10,410,off,1
09min 10sec,345200 (1.475ms),505318 (42%),639614 (27%),64 (1%),4513 (65%),10 (1%),26,5,410,off,1
04min 37sec,174145 (0.744ms),26778 (2%),31370 (1%),58 (1%),130 (1%),40 (4%),26,10,10,off,1
07min 59sec,261279 (1.117ms),407746 (34%),509979 (21%),1196 (27%),4514 (65%),0 (~0%),13,10,410,off,1
08min 04sec,260888 (1.115ms),407750 (34%),509886 (21%),1196 (27%),4512 (65%),0 (~0%),5,10,410,off,1
08min 02sec,261278 (1.117ms),407756 (34%),509901 (21%),1196 (27%),4512 (65%),0 (~0%),3,10,410,off,1
03min 53sec,1131805 (4.527ms),17502 (1%),14556 (~0%),226 (5%),13 (~0%),0 (~0%),1,1,1,off,1
05min 52sec,1133365 (5.06ms),17745 (1%),14589 (~0%),226 (5%),14 (~0%),0 (~0%),2,1,1,off,1
05min 45sec,1133319 (4.533ms),16033 (1%),12181 (~0%),206 (4%),14 (~0%),0 (~0%),3,1,1,off,1
05min 48sec,1132929 (4.532ms),16026 (1%),12168 (~0%),206 (4%),14 (~0%),0 (~0%),5,1,1,off,1
06min 02sec,422005 (1.803ms),19868 (1%),18112 (~0%),460 (10%),30 (~0%),0 (~0%),1,10,1,off,1
05min 02sec,659924 (2.82ms),17329 (1%),16930 (~0%),286 (6%),15 (~0%),0 (~0%),1,5,1,off,1
05min 56sec,734785 (2.939ms),34951 (2%),19286 (~0%),226 (5%),13 (~0%),0 (~0%),1,2,1,off,1
05min 51sec,1051855 (4.207ms),17766 (1%),16679 (~0%),226 (5%),24 (~0%),0 (~0%),1,1,2,off,1
05min 22sec,1163804 (4.655ms),22917 (1%),25606 (1%),298 (6%),56 (~0%),0 (~0%),1,1,5,off,1
06min 02sec,349074 (1.505ms),191967 (16%),351129 (14%),982 (22%),3746 (54%),0 (~0%),1,410,1,off,1
04min 44sec,422931 (1.807ms),18637 (1%),15767 (~0%),442 (10%),32 (~0%),0 (~0%),10,10,1,off,1
04min 33sec,423129 (1.808ms),18359 (1%),15706 (~0%),440 (10%),33 (~0%),0 (~0%),13,10,1,off,1
03min 41sec,660705 (2.824ms),17636 (1%),17139 (~0%),286 (6%),18 (~0%),0 (~0%),2,5,1,off,1
03min 37sec,661060 (2.825ms),16149 (1%),15107 (~0%),266 (6%),18 (~0%),0 (~0%),3,5,1,off,1
03min 40sec,660670 (2.823ms),16143 (1%),15094 (~0%),266 (6%),18 (~0%),0 (~0%),5,5,1,off,1
04min 49sec,278107 (1.188ms),27091 (2%),33810 (1%),716 (16%),128 (1%),0 (~0%),1,10,10,off,1
05min 51sec,349219 (1.505ms),190683 (16%),348669 (14%),964 (22%),3747 (54%),0 (~0%),10,410,1,off,1
05min 36sec,349028 (1.504ms),190628 (16%),348690 (14%),962 (22%),3749 (54%),0 (~0%),13,410,1,off,1
05min 43sec,348247 (1.501ms),190626 (16%),348604 (14%),962 (22%),3747 (54%),0 (~0%),15,410,1,off,1
55min 23sec,260547 (1.113ms),6406558 (541%),1020488 (43%),1216 (28%),4511 (65%),0 (~0%),1,10,410,off,1
04min 16sec,279021 (1.192ms),25865 (2%),31469 (1%),698 (16%),129 (1%),0 (~0%),10,10,10,off,1
03min 51sec,454020 (1.94ms),24166 (2%),27973 (1%),564 (13%),57 (~0%),0 (~0%),1,10,5,off,1
04min 24sec,279411 (1.194ms),25860 (2%),31482 (1%),698 (16%),129 (1%),0 (~0%),6,10,10,off,1
04min 05sec,174145 (0.744ms),26778 (2%),31370 (1%),58 (1%),130 (1%),40 (4%),26,10,10,off,1
06min 23sec,205309 (0.885ms),193045 (16%),358669 (15%),1220 (28%),3763 (55%),0 (~0%),10,410,10,off,1
60min 00sec,,,,,,,10,10,410,off,1
60min 00sec,,,,,,,10,10,10,flatten,1
03min 49sec,516954 (2.209ms),25987 (2%),32148 (1%),556 (12%),130 (1%),0 (~0%),10,5,10,off,1
04min 05sec,454944 (1.944ms),23108 (1%),26031 (1%),546 (12%),59 (~0%),0 (~0%),10,10,5,off,1
04min 39sec,342981 (1.466ms),18114 (1%),17060 (~0%),442 (10%),32 (~0%),0 (~0%),10,10,2,off,1
03min 57sec,175472 (0.75ms),26843 (2%),31328 (1%),58 (1%),128 (1%),40 (4%),30,10,10,off,1
06min 53sec,174120 (0.751ms),267673 (22%),411127 (17%),80 (1%),3764 (55%),20 (2%),26,410,10,off,1
08min 42sec,174130 (0.744ms),507150 (42%),671507 (28%),58 (1%),4513 (65%),20 (2%),26,10,410,off,1
60min 00sec,,,,,,,10,10,10,flatten,2
60min 00sec,,,,,,,10,10,10,flatten,4
60min 00sec,,,,,,,10,10,10,flatten,8
11min 44sec,473229 (2.022ms),525821 (44%),811324 (34%),1236 (28%),4513 (65%),0 (~0%),1,10,410,off,4
06min 04sec,205118 (0.884ms),192974 (16%),358690 (15%),1218 (28%),3765 (55%),0 (~0%),13,410,10,off,1
60min 00sec,,,,,,,6,10,410,off,1
06min 53sec,261278 (1.117ms),407756 (34%),509901 (21%),1196 (27%),4512 (65%),0 (~0%),3,10,410,off,1
04min 05sec,459829 (1.839ms),43646 (3%),34342 (1%),208 (4%),130 (1%),20 (2%),26,2,10,off,1
08min 37sec,441542 (1.766ms),524062 (44%),677721 (28%),208 (4%),4513 (65%),0 (~0%),26,2,410,off,1
08min 10sec,344968 (1.487ms),267503 (22%),407093 (17%),76 (1%),3748 (54%),10 (1%),26,410,5,off,1
60min 00sec,,,,,,,10,10,10,flatten,390
06min 03sec,204337 (0.881ms),192972 (16%),358595 (15%),1218 (28%),3763 (55%),0 (~0%),5,410,10,off,1
06min 23sec,205699 (0.887ms),193040 (16%),358684 (15%),1220 (28%),3763 (55%),0 (~0%),6,410,10,off,1
06min 13sec,204337 (0.881ms),192971 (16%),358604 (15%),1218 (28%),3763 (55%),0 (~0%),15,410,10,off,1
06min 13sec,204337 (0.881ms),192973 (16%),358607 (15%),1218 (28%),3763 (55%),0 (~0%),3,410,10,off,1
60min 00sec,,,,,,,26,410,10,flatten,1
60min 00sec,,,,,,,26,10,10,flatten,2
60min 00sec,,,,,,,26,10,10,flatten,4
06min 53sec,175448 (0.756ms),267738 (22%),411085 (17%),80 (1%),3762 (55%),20 (2%),30,410,10,off,1
06min 52sec,174120 (0.751ms),264365 (22%),402415 (17%),208 (4%),3748 (54%),0 (~0%),26,410,2,off,1
13min 48sec,264339 (1.13ms),515425 (43%),728368 (30%),54 (1%),4512 (65%),20 (2%),10,10,410,off,4
06min 16sec,205176 (0.884ms),194354 (16%),361129 (15%),1238 (28%),3762 (55%),0 (~0%),390,410,10,off,1
06min 18sec,205176 (0.884ms),195080 (16%),361220 (15%),1238 (28%),3763 (55%),0 (~0%),2,410,10,off,1
03min 54sec,345392 (1.476ms),25861 (2%),30055 (1%),64 (1%),130 (1%),30 (3%),26,5,10,off,1
09min 45sec,273842 (1.17ms),489690 (41%),703424 (29%),1214 (28%),4513 (65%),0 (~0%),6,10,410,off,2
13min 34sec,267253 (1.142ms),516216 (43%),729643 (30%),114 (2%),4512 (65%),0 (~0%),6,10,410,off,4
06min 06sec,205176 (0.884ms),194354 (16%),361129 (15%),1238 (28%),3762 (55%),0 (~0%),1,410,10,off,1
04min 02sec,883096 (3.532ms),26205 (2%),29616 (1%),208 (4%),130 (1%),20 (2%),26,1,10,off,1
06min 42sec,201272 (0.868ms),264887 (22%),401126 (16%),208 (4%),3748 (54%),0 (~0%),26,410,1,off,1
12min 56sec,262249 (1.121ms),462189 (39%),675923 (28%),1694 (39%),4512 (65%),20 (2%),10,10,410,off,8
58min 51sec,261470 (1.117ms),6405306 (541%),1018079 (43%),1198 (27%),4512 (65%),0 (~0%),10,10,410,off,390
05min 15sec,1132731 (4.531ms),16329 (1%),12221 (~0%),208 (4%),14 (~0%),0 (~0%),10,1,1,off,1
03min 41sec,1133319 (4.533ms),16031 (1%),12178 (~0%),206 (4%),14 (~0%),0 (~0%),15,1,1,off,1
04min 08sec,659924 (2.82ms),17329 (1%),16930 (~0%),286 (6%),15 (~0%),0 (~0%),1,5,1,off,1
04min 49sec,422005 (1.803ms),19868 (1%),18112 (~0%),460 (10%),30 (~0%),0 (~0%),1,10,1,off,1
05min 09sec,734785 (2.939ms),34951 (2%),19286 (~0%),226 (5%),13 (~0%),0 (~0%),1,2,1,off,1
03min 42sec,1163804 (4.655ms),22917 (1%),25606 (1%),298 (6%),56 (~0%),0 (~0%),1,1,5,off,1
03min 58sec,987907 (3.952ms),26915 (2%),32060 (1%),482 (11%),128 (1%),0 (~0%),1,1,10,off,1
80min 00sec,,,,,,,1,1,1,flatten,1
05min 53sec,349074 (1.505ms),191967 (16%),351129 (14%),982 (22%),3746 (54%),0 (~0%),1,410,1,off,1
59min 15sec,970737 (3.883ms),6406349 (541%),1018967 (43%),982 (22%),4511 (65%),0 (~0%),1,1,410,off,1
03min 30sec,1037016 (4.148ms),16397 (1%),12119 (~0%),336 (7%),15 (~0%),0 (~0%),26,1,1,off,1
03min 06sec,1046962 (4.188ms),16462 (1%),12077 (~0%),336 (7%),13 (~0%),0 (~0%),30,1,1,off,1
53min 33sec,970737 (3.883ms),6406349 (541%),1018967 (43%),982 (22%),4511 (65%),0 (~0%),1,1,410,off,1
05min 29sec,1132929 (4.532ms),16026 (1%),12168 (~0%),206 (4%),14 (~0%),0 (~0%),5,1,1,off,1
04min 39sec,1133319 (4.533ms),16033 (1%),12181 (~0%),206 (4%),14 (~0%),0 (~0%),3,1,1,off,1
04min 51sec,1133365 (5.06ms),17745 (1%),14589 (~0%),226 (5%),14 (~0%),0 (~0%),2,1,1,off,1
04min 42sec,1133121 (4.532ms),16324 (1%),12234 (~0%),208 (4%),14 (~0%),0 (~0%),6,1,1,off,1
04min 36sec,1051855 (4.207ms),17766 (1%),16679 (~0%),226 (5%),24 (~0%),0 (~0%),1,1,2,off,1
04min 00sec,1133319 (4.533ms),16007 (1%),12171 (~0%),206 (4%),16 (~0%),0 (~0%),13,1,1,off,1
03min 34sec,1131805 (4.527ms),17502 (1%),14556 (~0%),226 (5%),13 (~0%),0 (~0%),390,1,1,off,1
04min 55sec,1558535 (6.958ms),25252 (2%),43180 (1%),226 (5%),14 (~0%),0 (~0%),1,1,1,off,2
03min 48sec,1170804 (4.683ms),21723 (1%),18619 (~0%),226 (5%),13 (~0%),0 (~0%),1,1,3,off,1
03min 48sec,1045614 (4.182ms),21247 (1%),19548 (~0%),226 (5%),46 (~0%),0 (~0%),1,1,4,off,1
03min 45sec,1045614 (4.182ms),21247 (1%),19548 (~0%),226 (5%),46 (~0%),0 (~0%),1,1,4,off,1
03min 49sec,1170804 (4.683ms),21723 (1%),18619 (~0%),226 (5%),13 (~0%),0 (~0%),1,1,3,off,1
03min 51sec,1045614 (4.182ms),21247 (1%),19548 (~0%),226 (5%),46 (~0%),0 (~0%),1,1,4,off,1
03min 52sec,1170804 (4.683ms),21723 (1%),18619 (~0%),226 (5%),13 (~0%),0 (~0%),1,1,3,off,1
03min 49sec,1045614 (4.182ms),21247 (1%),19548 (~0%),226 (5%),46 (~0%),0 (~0%),1,1,4,off,1
03min 55sec,1091244 (4.365ms),22871 (1%),20070 (~0%),290 (6%),25 (~0%),0 (~0%),1,1,6,off,1
04min 03sec,1045614 (4.182ms),21247 (1%),19548 (~0%),226 (5%),46 (~0%),0 (~0%),1,1,4,off,1
04min 02sec,1170804 (4.683ms),21723 (1%),18619 (~0%),226 (5%),13 (~0%),0 (~0%),1,1,3,off,1
03min 47sec,1045614 (4.182ms),21247 (1%),19548 (~0%),226 (5%),46 (~0%),0 (~0%),1,1,4,off,1
03min 53sec,1170804 (4.683ms),21723 (1%),18619 (~0%),226 (5%),13 (~0%),0 (~0%),1,1,3,off,1
04min 08sec,1045614 (4.182ms),21247 (1%),19548 (~0%),226 (5%),46 (~0%),0 (~0%),1,1,4,off,1
04min 04sec,1045614 (4.182ms),21247 (1%),19548 (~0%),226 (5%),46 (~0%),0 (~0%),1,1,4,off,1
03min 53sec,1091244 (4.365ms),22871 (1%),20070 (~0%),290 (6%),25 (~0%),0 (~0%),1,1,6,off,1
03min 50sec,1045614 (4.182ms),21247 (1%),19548 (~0%),226 (5%),46 (~0%),0 (~0%),1,1,4,off,1
03min 55sec,1170804 (4.683ms),21723 (1%),18619 (~0%),226 (5%),13 (~0%),0 (~0%),1,1,3,off,1
03min 44sec,1045614 (4.182ms),21247 (1%),19548 (~0%),226 (5%),46 (~0%),0 (~0%),1,1,4,off,1
03min 51sec,1170804 (4.683ms),21723 (1%),18619 (~0%),226 (5%),13 (~0%),0 (~0%),1,1,3,off,1
03min 47sec,1025724 (4.103ms),24523 (2%),23966 (1%),290 (6%),91 (1%),0 (~0%),1,1,8,off,1
03min 46sec,1045614 (4.182ms),21247 (1%),19548 (~0%),226 (5%),46 (~0%),0 (~0%),1,1,4,off,1
04min 58sec,1002713 (4.011ms),28238 (2%),32191 (1%),290 (6%),80 (1%),0 (~0%),1,1,7,off,1
04min 18sec,1007405 (4.03ms),30833 (2%),35372 (1%),418 (9%),119 (1%),0 (~0%),1,1,9,off,1
03min 52sec,1025724 (4.103ms),24523 (2%),23966 (1%),290 (6%),91 (1%),0 (~0%),1,1,8,off,1
04min 12sec,1007405 (4.03ms),30833 (2%),35372 (1%),418 (9%),119 (1%),0 (~0%),1,1,9,off,1
03min 46sec,1025724 (4.103ms),24523 (2%),23966 (1%),290 (6%),91 (1%),0 (~0%),1,1,8,off,1
